"","Y","L","Env","tj","ri","Group","G","adjmean","se","ErrVar","w"
"4864","2001","Rangpur","2001-Rangpur",2001,1999,"Short","BRRI dhan39",3.84085271333333,0.230290459685438,0.0530336958221302,18.8559364852471
"6","2001","Satkhira","2001-Satkhira",2001,1980,"Long","BR10",6.90891472833334,0.0529806450071602,0.00280694874537473,356.258731709224
"330","2001","Satkhira","2001-Satkhira",2001,1980,"Medium","BR11",6.99531007733333,0.0529806450071603,0.00280694874537474,356.258731709224
"654","2001","Satkhira","2001-Satkhira",2001,1988,"Long","BR22",4.690891473,0.0529806450071603,0.00280694874537474,356.258731709224
"978","2001","Satkhira","2001-Satkhira",2001,1988,"Long","BR23",5.90978682166667,0.0529806450071603,0.00280694874537474,356.258731709224
"1302","2001","Satkhira","2001-Satkhira",2001,1992,"Medium","BR25",4.986337209,0.0529806450071603,0.00280694874537473,356.258731709224
"1626","2001","Satkhira","2001-Satkhira",2001,1973,"Medium","BR3",5.07155038766667,0.0529806450071603,0.00280694874537474,356.258731709224
"1950","2001","Satkhira","2001-Satkhira",2001,1975,"Medium","BR4",4.451976744,0.0529806450071603,0.00280694874537473,356.258731709224
"2274","2001","Satkhira","2001-Satkhira",2001,1976,"Aromatic","BR5",3.87240310066667,0.0529806450071603,0.00280694874537474,356.258731709224
"2598","2001","Satkhira","2001-Satkhira",2001,1994,"Medium","BRRI dhan30",5.72627906966667,0.0529806450071603,0.00280694874537473,356.258731709224
"2922","2001","Satkhira","2001-Satkhira",2001,1994,"Medium","BRRI dhan31",5.917267442,0.0529806450071603,0.00280694874537474,356.258731709224
"3246","2001","Satkhira","2001-Satkhira",2001,1994,"Medium","BRRI dhan32",5.56593023233333,0.0529806450071602,0.00280694874537473,356.258731709224
"3570","2001","Satkhira","2001-Satkhira",2001,1997,"Short","BRRI dhan33",5.12802325566667,0.0529806450071603,0.00280694874537473,356.258731709224
"3893","2001","Satkhira","2001-Satkhira",2001,1997,"Aromatic","BRRI dhan34",3.549147287,0.0529806450071603,0.00280694874537473,356.258731709224
"4217","2001","Satkhira","2001-Satkhira",2001,1998,"Aromatic","BRRI dhan37",3.63052325566667,0.0529806450071602,0.00280694874537473,356.258731709224
"4541","2001","Satkhira","2001-Satkhira",2001,1998,"Aromatic","BRRI dhan38",3.23831395366667,0.0529806450071602,0.00280694874537473,356.258731709224
"4865","2001","Satkhira","2001-Satkhira",2001,1999,"Short","BRRI dhan39",4.69441860466667,0.0529806450071602,0.00280694874537473,356.258731709224
"7","2001","Sonagazi","2001-Sonagazi",2001,1980,"Long","BR10",3.961007752,0.164927883915615,0.0272012068928827,36.7630746656927
"331","2001","Sonagazi","2001-Sonagazi",2001,1980,"Medium","BR11",3.534496124,0.164927883915615,0.0272012068928827,36.7630746656926
"655","2001","Sonagazi","2001-Sonagazi",2001,1988,"Long","BR22",3.90104651133333,0.164927883915615,0.0272012068928827,36.7630746656926
"979","2001","Sonagazi","2001-Sonagazi",2001,1988,"Long","BR23",4.43170542666667,0.164927883915615,0.0272012068928827,36.7630746656926
"1303","2001","Sonagazi","2001-Sonagazi",2001,1992,"Medium","BR25",4.37302325566667,0.164927883915615,0.0272012068928827,36.7630746656926
"1627","2001","Sonagazi","2001-Sonagazi",2001,1973,"Medium","BR3",4.088992248,0.164927883915615,0.0272012068928827,36.7630746656926
"1951","2001","Sonagazi","2001-Sonagazi",2001,1975,"Medium","BR4",3.70282455233333,0.164927883915615,0.0272012068928827,36.7630746656926
"2275","2001","Sonagazi","2001-Sonagazi",2001,1976,"Aromatic","BR5",3.93341085266667,0.164927883915615,0.0272012068928827,36.7630746656926
"2599","2001","Sonagazi","2001-Sonagazi",2001,1994,"Medium","BRRI dhan30",4.07573643433333,0.164927883915615,0.0272012068928827,36.7630746656926
"2923","2001","Sonagazi","2001-Sonagazi",2001,1994,"Medium","BRRI dhan31",4.974147287,0.164927883915615,0.0272012068928827,36.7630746656926
"3247","2001","Sonagazi","2001-Sonagazi",2001,1994,"Medium","BRRI dhan32",5.42015503866666,0.164927883915615,0.0272012068928827,36.7630746656926
"3571","2001","Sonagazi","2001-Sonagazi",2001,1997,"Short","BRRI dhan33",2.482868217,0.164927883915615,0.0272012068928827,36.7630746656926
"3894","2001","Sonagazi","2001-Sonagazi",2001,1997,"Aromatic","BRRI dhan34",3.12806201533333,0.164927883915615,0.0272012068928827,36.7630746656926
"4218","2001","Sonagazi","2001-Sonagazi",2001,1998,"Aromatic","BRRI dhan37",2.92689922466667,0.164927883915615,0.0272012068928827,36.7630746656926
"4542","2001","Sonagazi","2001-Sonagazi",2001,1998,"Aromatic","BRRI dhan38",3.33488372066667,0.164927883915615,0.0272012068928827,36.7630746656926
"4866","2001","Sonagazi","2001-Sonagazi",2001,1999,"Short","BRRI dhan39",2.16728682166667,0.164927883915615,0.0272012068928827,36.7630746656926
"8","2002","Barisal","2002-Barisal",2002,1980,"Long","BR10",4.56666666666668,0.281482928237026,0.0792326388888909,12.6210613962046
"332","2002","Barisal","2002-Barisal",2002,1980,"Medium","BR11",4.86666666666667,0.281482928237027,0.0792326388888911,12.6210613962046
"656","2002","Barisal","2002-Barisal",2002,1988,"Long","BR22",5.46666666666667,0.281482928237027,0.0792326388888911,12.6210613962046
"980","2002","Barisal","2002-Barisal",2002,1988,"Long","BR23",5.46666666666667,0.281482928237027,0.079232638888891,12.6210613962046
"1304","2002","Barisal","2002-Barisal",2002,1992,"Medium","BR25",4.76666666666667,0.281482928237027,0.079232638888891,12.6210613962046
"1628","2002","Barisal","2002-Barisal",2002,1973,"Medium","BR3",3.73333333333333,0.281482928237027,0.079232638888891,12.6210613962046
"1952","2002","Barisal","2002-Barisal",2002,1975,"Medium","BR4",4.9,0.281482928237027,0.079232638888891,12.6210613962046
"2276","2002","Barisal","2002-Barisal",2002,1976,"Aromatic","BR5",2.81666666666667,0.281482928237027,0.079232638888891,12.6210613962046
"2600","2002","Barisal","2002-Barisal",2002,1994,"Medium","BRRI dhan30",4.46666666666667,0.281482928237027,0.079232638888891,12.6210613962046
"2924","2002","Barisal","2002-Barisal",2002,1994,"Medium","BRRI dhan31",5.51666666666667,0.281482928237027,0.079232638888891,12.6210613962046
"3248","2002","Barisal","2002-Barisal",2002,1994,"Medium","BRRI dhan32",5.58333333333333,0.281482928237026,0.079232638888891,12.6210613962046
"3572","2002","Barisal","2002-Barisal",2002,1997,"Short","BRRI dhan33",3.83333333333333,0.281482928237027,0.079232638888891,12.6210613962046
"3895","2002","Barisal","2002-Barisal",2002,1997,"Aromatic","BRRI dhan34",3.45,0.281482928237027,0.079232638888891,12.6210613962046
"4219","2002","Barisal","2002-Barisal",2002,1998,"Aromatic","BRRI dhan37",3.76666666666667,0.281482928237026,0.079232638888891,12.6210613962046
"4543","2002","Barisal","2002-Barisal",2002,1998,"Aromatic","BRRI dhan38",3.9,0.281482928237026,0.079232638888891,12.6210613962046
"4867","2002","Barisal","2002-Barisal",2002,1999,"Short","BRRI dhan39",4.3,0.281482928237026,0.079232638888891,12.6210613962046
"9","2002","Comilla","2002-Comilla",2002,1980,"Long","BR10",4.73333333333332,0.358938442571368,0.12883680555556,7.76175717558256
"333","2002","Comilla","2002-Comilla",2002,1980,"Medium","BR11",4.58333333333333,0.358938442571369,0.12883680555556,7.76175717558255
"657","2002","Comilla","2002-Comilla",2002,1988,"Long","BR22",5.71666666666667,0.358938442571369,0.12883680555556,7.76175717558255
"981","2002","Comilla","2002-Comilla",2002,1988,"Long","BR23",5.73333333333333,0.358938442571369,0.12883680555556,7.76175717558255
"1305","2002","Comilla","2002-Comilla",2002,1992,"Medium","BR25",4.53333333333333,0.358938442571369,0.12883680555556,7.76175717558255
"1629","2002","Comilla","2002-Comilla",2002,1973,"Medium","BR3",3.65,0.358938442571369,0.12883680555556,7.76175717558255
"1953","2002","Comilla","2002-Comilla",2002,1975,"Medium","BR4",4.55,0.358938442571369,0.12883680555556,7.76175717558255
"2277","2002","Comilla","2002-Comilla",2002,1976,"Aromatic","BR5",2.95,0.358938442571369,0.12883680555556,7.76175717558255
"2601","2002","Comilla","2002-Comilla",2002,1994,"Medium","BRRI dhan30",5.03333333333333,0.358938442571369,0.12883680555556,7.76175717558255
"2925","2002","Comilla","2002-Comilla",2002,1994,"Medium","BRRI dhan31",6.11666666666667,0.358938442571369,0.12883680555556,7.76175717558255
"3249","2002","Comilla","2002-Comilla",2002,1994,"Medium","BRRI dhan32",4.6,0.358938442571369,0.12883680555556,7.76175717558255
"3573","2002","Comilla","2002-Comilla",2002,1997,"Short","BRRI dhan33",4.3,0.358938442571369,0.12883680555556,7.76175717558255
"3896","2002","Comilla","2002-Comilla",2002,1997,"Aromatic","BRRI dhan34",3.01666666666667,0.358938442571369,0.12883680555556,7.76175717558255
"4220","2002","Comilla","2002-Comilla",2002,1998,"Aromatic","BRRI dhan37",4.25,0.358938442571369,0.12883680555556,7.76175717558255
"4544","2002","Comilla","2002-Comilla",2002,1998,"Aromatic","BRRI dhan38",4.56666666666667,0.358938442571369,0.12883680555556,7.76175717558255
"4868","2002","Comilla","2002-Comilla",2002,1999,"Short","BRRI dhan39",4.88333333333333,0.358938442571369,0.12883680555556,7.76175717558255
"10","2002","Gazipur","2002-Gazipur",2002,1980,"Long","BR10",3.85790251933332,0.208116403099547,0.0433124372390932,23.0880565432003
"334","2002","Gazipur","2002-Gazipur",2002,1980,"Medium","BR11",4.26381705433333,0.208116403099547,0.0433124372390932,23.0880565432003
"658","2002","Gazipur","2002-Gazipur",2002,1988,"Long","BR22",3.86058255833333,0.208116403099547,0.0433124372390932,23.0880565432003
"982","2002","Gazipur","2002-Gazipur",2002,1988,"Long","BR23",3.65269031,0.208116403099547,0.0433124372390932,23.0880565432003
"1306","2002","Gazipur","2002-Gazipur",2002,1992,"Medium","BR25",3.98139511633333,0.208116403099547,0.0433124372390932,23.0880565432003
"1630","2002","Gazipur","2002-Gazipur",2002,1973,"Medium","BR3",3.042428566,0.208116403099547,0.0433124372390932,23.0880565432003
"1954","2002","Gazipur","2002-Gazipur",2002,1975,"Medium","BR4",3.36996616266667,0.208116403099547,0.0433124372390932,23.0880565432003
"2278","2002","Gazipur","2002-Gazipur",2002,1976,"Aromatic","BR5",2.21089686066667,0.208116403099547,0.0433124372390932,23.0880565432003
"2602","2002","Gazipur","2002-Gazipur",2002,1994,"Medium","BRRI dhan30",4.08794465133333,0.208116403099547,0.0433124372390932,23.0880565432003
"2926","2002","Gazipur","2002-Gazipur",2002,1994,"Medium","BRRI dhan31",3.71850992266667,0.208116403099547,0.0433124372390932,23.0880565432003
"3250","2002","Gazipur","2002-Gazipur",2002,1994,"Medium","BRRI dhan32",4.40043825566667,0.208116403099547,0.0433124372390932,23.0880565432003
"3574","2002","Gazipur","2002-Gazipur",2002,1997,"Short","BRRI dhan33",2.494374341,0.208116403099547,0.0433124372390932,23.0880565432003
"3897","2002","Gazipur","2002-Gazipur",2002,1997,"Aromatic","BRRI dhan34",2.36381135666667,0.208116403099547,0.0433124372390932,23.0880565432003
"4221","2002","Gazipur","2002-Gazipur",2002,1998,"Aromatic","BRRI dhan37",2.93410565866667,0.208116403099547,0.0433124372390932,23.0880565432003
"4545","2002","Gazipur","2002-Gazipur",2002,1998,"Aromatic","BRRI dhan38",3.27127782933333,0.208116403099547,0.0433124372390932,23.0880565432003
"4869","2002","Gazipur","2002-Gazipur",2002,1999,"Short","BRRI dhan39",4.19606573666667,0.208116403099547,0.0433124372390932,23.0880565432003
"11","2002","Rajshahi","2002-Rajshahi",2002,1980,"Long","BR10",4.36233333333332,0.19895514104479,0.0395831481481523,25.2632760854995
"335","2002","Rajshahi","2002-Rajshahi",2002,1980,"Medium","BR11",4.06233333333333,0.19895514104479,0.0395831481481524,25.2632760854995
"659","2002","Rajshahi","2002-Rajshahi",2002,1988,"Long","BR22",5.65233333333333,0.19895514104479,0.0395831481481524,25.2632760854995
"983","2002","Rajshahi","2002-Rajshahi",2002,1988,"Long","BR23",4.60566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"1307","2002","Rajshahi","2002-Rajshahi",2002,1992,"Medium","BR25",4.13566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"1631","2002","Rajshahi","2002-Rajshahi",2002,1973,"Medium","BR3",3.42566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"1955","2002","Rajshahi","2002-Rajshahi",2002,1975,"Medium","BR4",3.24,0.19895514104479,0.0395831481481524,25.2632760854995
"2279","2002","Rajshahi","2002-Rajshahi",2002,1976,"Aromatic","BR5",3.109,0.19895514104479,0.0395831481481524,25.2632760854995
"2603","2002","Rajshahi","2002-Rajshahi",2002,1994,"Medium","BRRI dhan30",4.71566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"2927","2002","Rajshahi","2002-Rajshahi",2002,1994,"Medium","BRRI dhan31",4.899,0.19895514104479,0.0395831481481524,25.2632760854995
"3251","2002","Rajshahi","2002-Rajshahi",2002,1994,"Medium","BRRI dhan32",4.159,0.19895514104479,0.0395831481481524,25.2632760854995
"3575","2002","Rajshahi","2002-Rajshahi",2002,1997,"Short","BRRI dhan33",4.86566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"3898","2002","Rajshahi","2002-Rajshahi",2002,1997,"Aromatic","BRRI dhan34",2.24566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"4222","2002","Rajshahi","2002-Rajshahi",2002,1998,"Aromatic","BRRI dhan37",4.54566666666667,0.19895514104479,0.0395831481481524,25.2632760854995
"4546","2002","Rajshahi","2002-Rajshahi",2002,1998,"Aromatic","BRRI dhan38",3.50233333333333,0.19895514104479,0.0395831481481524,25.2632760854995
"4870","2002","Rajshahi","2002-Rajshahi",2002,1999,"Short","BRRI dhan39",4.329,0.19895514104479,0.0395831481481524,25.2632760854995
"12","2002","Rangpur","2002-Rangpur",2002,1980,"Long","BR10",3.18000000000001,0.279582341169077,0.0781662854935823,12.7932393574222
"336","2002","Rangpur","2002-Rangpur",2002,1980,"Medium","BR11",3.81333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"660","2002","Rangpur","2002-Rangpur",2002,1988,"Long","BR22",3.11666666666667,0.279582341169077,0.0781662854935824,12.7932393574222
"984","2002","Rangpur","2002-Rangpur",2002,1988,"Long","BR23",3.18333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"1308","2002","Rangpur","2002-Rangpur",2002,1992,"Medium","BR25",3.12333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"1632","2002","Rangpur","2002-Rangpur",2002,1973,"Medium","BR3",3.4,0.279582341169077,0.0781662854935824,12.7932393574222
"1956","2002","Rangpur","2002-Rangpur",2002,1975,"Medium","BR4",3.5,0.279582341169077,0.0781662854935824,12.7932393574222
"2280","2002","Rangpur","2002-Rangpur",2002,1976,"Aromatic","BR5",2.28,0.279582341169077,0.0781662854935824,12.7932393574222
"2604","2002","Rangpur","2002-Rangpur",2002,1994,"Medium","BRRI dhan30",3.48333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"2928","2002","Rangpur","2002-Rangpur",2002,1994,"Medium","BRRI dhan31",4.59666666666667,0.279582341169077,0.0781662854935824,12.7932393574222
"3252","2002","Rangpur","2002-Rangpur",2002,1994,"Medium","BRRI dhan32",4.10666666666667,0.279582341169077,0.0781662854935824,12.7932393574222
"3576","2002","Rangpur","2002-Rangpur",2002,1997,"Short","BRRI dhan33",3.48035617466667,0.279582341169077,0.0781662854935824,12.7932393574222
"3899","2002","Rangpur","2002-Rangpur",2002,1997,"Aromatic","BRRI dhan34",2.59333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"4223","2002","Rangpur","2002-Rangpur",2002,1998,"Aromatic","BRRI dhan37",2.98333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"4547","2002","Rangpur","2002-Rangpur",2002,1998,"Aromatic","BRRI dhan38",2.55333333333333,0.279582341169077,0.0781662854935824,12.7932393574222
"4871","2002","Rangpur","2002-Rangpur",2002,1999,"Short","BRRI dhan39",2.63,0.279582341169077,0.0781662854935824,12.7932393574222
"13","2002","Satkhira","2002-Satkhira",2002,1980,"Long","BR10",6.48790697700001,0.0743786699049346,0.00553218653682722,180.760354580074
"337","2002","Satkhira","2002-Satkhira",2002,1980,"Medium","BR11",6.58906976733333,0.0743786699049346,0.00553218653682723,180.760354580074
"661","2002","Satkhira","2002-Satkhira",2002,1988,"Long","BR22",4.28255813966667,0.0743786699049346,0.00553218653682723,180.760354580074
"985","2002","Satkhira","2002-Satkhira",2002,1988,"Long","BR23",5.55383720933333,0.0743786699049346,0.00553218653682722,180.760354580074
