"Y"	"L"	"Env"	"t.j"	"r.i"	"Group"	"G"	"GG"	"ari.mean"	"adj.mean"	"w"
"20"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1983	"Long"	"BR14"	"Long-BR14"	7.1	7.1	12.2514346723608
"21"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1983	"Long"	"BR15"	"Long-BR15"	5.63333333333333	5.63333333333333	12.2514346723608
"22"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1983	"Long"	"BR16"	"Long-BR16"	6.23333333333333	6.23333333333333	12.2514346723609
"23"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1971	"Long"	"BR2"	"Long-BR2"	6.53333333333333	6.53333333333333	12.2514346723609
"24"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1973	"Long"	"BR3"	"Long-BR3"	5.83333333333333	5.83333333333333	12.2514346723608
"25"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1977	"Long"	"BR7"	"Long-BR7"	7.43333333333333	7.43333333333333	12.2514346723608
"26"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1978	"Long"	"BR8"	"Long-BR8"	5.2	5.2	12.2514346723609
"27"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1978	"Long"	"BR9"	"Long-BR9"	6.63333333333333	6.63333333333333	12.2514346723608
"28"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	7.96666666666667	7.96666666666666	12.2514346723609
"29"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	6.93333333333333	6.93333333333333	12.2514346723609
"30"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1970	"Short"	"BR1"	"Short-BR1"	5.7	5.69999999999999	12.2514346723609
"31"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1977	"Short"	"BR6"	"Short-BR6"	6.3	6.3	12.2514346723609
"32"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	6.16666666666667	6.16666666666667	12.2514346723609
"33"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	7.43333333333333	7.43333333333333	12.2514346723609
"34"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	6.93333333333333	6.93333333333333	12.2514346723609
"35"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	6.73333333333333	6.73333333333333	12.2514346723609
"36"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	6.63333333333333	6.63333333333333	12.2514346723609
"37"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1983	"Long"	"BR12"	"Long-BR12"	4.47333333333333	4.47333333333334	38.1194409148662
"38"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1983	"Long"	"BR14"	"Long-BR14"	6.35	6.35000000000001	38.1194409148661
"39"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1983	"Long"	"BR15"	"Long-BR15"	6.59333333333333	6.59333333333334	38.1194409148661
"40"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1983	"Long"	"BR16"	"Long-BR16"	6.05333333333333	6.05333333333333	38.1194409148663
"41"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1971	"Long"	"BR2"	"Long-BR2"	5.47333333333333	5.47333333333334	38.1194409148662
"42"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1973	"Long"	"BR3"	"Long-BR3"	6.18	6.18000000000001	38.1194409148662
"43"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1977	"Long"	"BR7"	"Long-BR7"	5.37666666666667	5.37666666666667	38.1194409148662
"44"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1978	"Long"	"BR8"	"Long-BR8"	3.55333333333333	3.55333333333334	38.1194409148662
"45"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1978	"Long"	"BR9"	"Long-BR9"	5.37666666666667	5.37666666666667	38.1194409148662
"46"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	5.79333333333333	5.79333333333333	38.1194409148662
"47"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	6.2	6.2	38.1194409148662
"48"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1970	"Short"	"BR1"	"Short-BR1"	6.28666666666667	6.28666666666667	38.1194409148663
"49"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1977	"Short"	"BR6"	"Short-BR6"	4.55333333333333	4.55333333333333	38.1194409148662
"50"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	5.04666666666667	5.04666666666667	38.1194409148662
"51"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	5.61666666666667	5.61666666666667	38.1194409148662
"52"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	5.28666666666667	5.28666666666667	38.1194409148662
"53"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	5.41	5.41	38.1194409148662
"54"	"2001-2002"	"Comilla"	"2001-2002-Comilla"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	6.45666666666667	6.45666666666667	38.1194409148662
"55"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1983	"Long"	"BR12"	"Long-BR12"	4.73333333333333	4.73333333333333	30.8219523031967
"56"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1983	"Long"	"BR14"	"Long-BR14"	5.94	5.94	30.8219523031966
"57"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1983	"Long"	"BR15"	"Long-BR15"	5.14333333333333	5.14333333333333	30.8219523031967
"58"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1983	"Long"	"BR16"	"Long-BR16"	5.55	5.55	30.8219523031968
"59"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1971	"Long"	"BR2"	"Long-BR2"	4.56666666666667	4.56666666666666	30.8219523031967
"60"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1973	"Long"	"BR3"	"Long-BR3"	5.65666666666667	5.65666666666667	30.8219523031967
"61"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1977	"Long"	"BR7"	"Long-BR7"	5.24333333333333	5.24333333333333	30.8219523031967
"62"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1978	"Long"	"BR8"	"Long-BR8"	3.72	3.72	30.8219523031967
"63"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1978	"Long"	"BR9"	"Long-BR9"	5.33	5.33	30.8219523031967
"64"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	6.18666666666667	6.18666666666666	30.8219523031967
"65"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	4.97	4.97	30.8219523031967
"66"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1970	"Short"	"BR1"	"Short-BR1"	5.53	5.53	30.8219523031968
"67"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1977	"Short"	"BR6"	"Short-BR6"	4.91666666666667	4.91666666666667	30.8219523031967
"68"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	5.31333333333333	5.31333333333333	30.8219523031967
"69"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	5.90666666666667	5.90666666666667	30.8219523031967
"70"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	4.95	4.95	30.8219523031967
"71"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	5.52	5.52	30.8219523031967
"72"	"2001-2002"	"Habiganj"	"2001-2002-Habiganj"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	5.56	5.56	30.8219523031967
"73"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1983	"Long"	"BR12"	"Long-BR12"	5.23333333333333	5.23333333333333	7.59514616657472
"74"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1983	"Long"	"BR14"	"Long-BR14"	6.4	6.4	7.59514616657471
"75"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1983	"Long"	"BR15"	"Long-BR15"	4.63333333333333	4.63333333333333	7.59514616657471
"76"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1983	"Long"	"BR16"	"Long-BR16"	5.16666666666667	5.16666666666667	7.59514616657474
"77"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1971	"Long"	"BR2"	"Long-BR2"	5.56666666666667	5.56666666666667	7.59514616657472
"78"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1973	"Long"	"BR3"	"Long-BR3"	5.3	5.3	7.59514616657471
"79"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1977	"Long"	"BR7"	"Long-BR7"	4.3	4.3	7.59514616657471
"80"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1978	"Long"	"BR8"	"Long-BR8"	5.36666666666667	5.36666666666667	7.59514616657472
"81"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1978	"Long"	"BR9"	"Long-BR9"	4.73333333333333	4.73333333333333	7.59514616657471
"82"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	5.26666666666667	5.26666666666667	7.59514616657472
"83"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	5.66666666666667	5.66666666666667	7.59514616657472
"84"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1970	"Short"	"BR1"	"Short-BR1"	5.4	5.4	7.59514616657474
"85"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1977	"Short"	"BR6"	"Short-BR6"	6.26666666666667	6.26666666666667	7.59514616657472
"86"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	4.6	4.6	7.59514616657473
"87"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	4.96666666666667	4.96666666666667	7.59514616657472
"88"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	5.66666666666667	5.66666666666667	7.59514616657472
"89"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	5.36666666666667	5.36666666666667	7.59514616657472
"90"	"2001-2002"	"Rajshahi"	"2001-2002-Rajshahi"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	5.93333333333333	5.93333333333333	7.59514616657472
"91"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1983	"Long"	"BR12"	"Long-BR12"	6.14666666666667	6.14666666666667	10.8684971046939
"92"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1983	"Long"	"BR14"	"Long-BR14"	6.71333333333333	6.71333333333333	10.8684971046939
"93"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1983	"Long"	"BR15"	"Long-BR15"	6.31	6.31	10.8684971046939
"94"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1983	"Long"	"BR16"	"Long-BR16"	7.38666666666667	7.38666666666666	10.868497104694
"95"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1971	"Long"	"BR2"	"Long-BR2"	6.54	6.54	10.8684971046939
"96"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1973	"Long"	"BR3"	"Long-BR3"	6.73333333333333	6.73333333333334	10.8684971046939
"97"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1977	"Long"	"BR7"	"Long-BR7"	6.81333333333333	6.81333333333333	10.8684971046939
"98"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1978	"Long"	"BR8"	"Long-BR8"	4.30333333333333	4.30333333333333	10.8684971046939
"99"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1978	"Long"	"BR9"	"Long-BR9"	7.35	7.35	10.8684971046939
"100"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	8.43666666666667	8.43666666666667	10.8684971046939
"101"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	6.61333333333333	6.61333333333333	10.8684971046939
"102"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1970	"Short"	"BR1"	"Short-BR1"	5.37333333333333	5.37333333333334	10.868497104694
"103"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1977	"Short"	"BR6"	"Short-BR6"	5.31333333333333	5.31333333333333	10.8684971046939
"104"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	4.49	4.49	10.8684971046939
"105"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	7.65	7.65	10.8684971046939
"106"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	6.60333333333333	6.60333333333333	10.8684971046939
"107"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	6.90333333333333	6.90333333333333	10.8684971046939
"108"	"2001-2002"	"Rangpur"	"2001-2002-Rangpur"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	5.67	5.67	10.8684971046939
"109"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1983	"Long"	"BR12"	"Long-BR12"	4.25	4.25	297.071355374573
"110"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1983	"Long"	"BR14"	"Long-BR14"	6.55	6.55000000000001	297.071355374573
"111"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1983	"Long"	"BR15"	"Long-BR15"	5.04666666666667	5.04666666666667	297.071355374573
"112"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1983	"Long"	"BR16"	"Long-BR16"	4.46666666666667	4.46666666666667	297.071355374574
"113"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1971	"Long"	"BR2"	"Long-BR2"	5.93333333333333	5.93333333333334	297.071355374573
"114"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1973	"Long"	"BR3"	"Long-BR3"	5.56	5.56	297.071355374573
"115"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1977	"Long"	"BR7"	"Long-BR7"	4.21333333333333	4.21333333333333	297.071355374573
"116"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1978	"Long"	"BR8"	"Long-BR8"	5.96666666666667	5.96666666666667	297.071355374574
"117"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1978	"Long"	"BR9"	"Long-BR9"	6.55	6.55	297.071355374573
"118"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	7.74333333333333	7.74333333333333	297.071355374574
"119"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	5.51	5.51	297.071355374574
"120"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1970	"Short"	"BR1"	"Short-BR1"	5.23666666666667	5.23666666666666	297.071355374574
"121"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1977	"Short"	"BR6"	"Short-BR6"	5.63	5.63	297.071355374574
"122"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	7.50333333333333	7.50333333333333	297.071355374574
"123"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	5.56333333333333	5.56333333333333	297.071355374574
"124"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	4.33333333333333	4.33333333333333	297.071355374574
"125"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	6.5	6.5	297.071355374574
"126"	"2001-2002"	"Satkhira"	"2001-2002-Satkhira"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	5.52666666666667	5.52666666666667	297.071355374574
"127"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1983	"Long"	"BR12"	"Long-BR12"	4.71666666666667	4.71666666666667	10.1481878630768
"128"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1983	"Long"	"BR14"	"Long-BR14"	3.34	3.34	10.1481878630768
"129"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1983	"Long"	"BR15"	"Long-BR15"	3.61333333333333	3.61333333333333	10.1481878630768
"130"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1983	"Long"	"BR16"	"Long-BR16"	4.90666666666667	4.90666666666667	10.1481878630769
"131"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1971	"Long"	"BR2"	"Long-BR2"	3.34	3.34	10.1481878630768
"132"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1973	"Long"	"BR3"	"Long-BR3"	4.99666666666667	4.99666666666667	10.1481878630768
"133"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1977	"Long"	"BR7"	"Long-BR7"	4.91	4.91	10.1481878630768
"134"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1978	"Long"	"BR8"	"Long-BR8"	3.29666666666667	3.29666666666667	10.1481878630768
"135"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1978	"Long"	"BR9"	"Long-BR9"	5.51666666666667	5.51666666666667	10.1481878630768
"136"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	5.75666666666667	5.75666666666667	10.1481878630768
"137"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	5.26	5.26	10.1481878630768
"138"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1970	"Short"	"BR1"	"Short-BR1"	4.47666666666667	4.47666666666667	10.1481878630769
"139"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1977	"Short"	"BR6"	"Short-BR6"	2.98666666666667	2.98666666666667	10.1481878630768
"140"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	4.29333333333333	4.29333333333334	10.1481878630768
"141"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1985	"Stress"	"BR17"	"Stress-BR17"	4.69666666666667	4.69666666666667	10.1481878630768
"142"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1985	"Stress"	"BR18"	"Stress-BR18"	4.57666666666667	4.57666666666667	10.1481878630768
"143"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1985	"Stress"	"BR19"	"Stress-BR19"	4.91	4.91	10.1481878630768
"144"	"2002-2003"	"Barisal"	"2002-2003-Barisal"	2002	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	3.78666666666667	3.78666666666667	10.1481878630768
"145"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1983	"Long"	"BR12"	"Long-BR12"	6.28666666666667	6.28666666666667	10.6734298644428
"146"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1983	"Long"	"BR14"	"Long-BR14"	5.77666666666667	5.77666666666667	10.6734298644428
"147"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1983	"Long"	"BR15"	"Long-BR15"	6.11333333333333	6.11333333333333	10.6734298644428
"148"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1983	"Long"	"BR16"	"Long-BR16"	6.16333333333333	6.16333333333333	10.6734298644428
"149"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1971	"Long"	"BR2"	"Long-BR2"	5.90333333333333	5.90333333333333	10.6734298644428
"150"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1973	"Long"	"BR3"	"Long-BR3"	6.28666666666667	6.28666666666667	10.6734298644428
"151"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1977	"Long"	"BR7"	"Long-BR7"	5.77333333333333	5.77333333333333	10.6734298644428
"152"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1978	"Long"	"BR8"	"Long-BR8"	6.23666666666667	6.23666666666667	10.6734298644428
"153"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1978	"Long"	"BR9"	"Long-BR9"	7.01	7.01	10.6734298644428
"154"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	8.05333333333333	8.05333333333333	10.6734298644428
"155"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	6.73666666666667	6.73666666666667	10.6734298644428
"156"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1970	"Short"	"BR1"	"Short-BR1"	5.13	5.13	10.6734298644428
"157"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1977	"Short"	"BR6"	"Short-BR6"	5.67	5.67	10.6734298644428
"158"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	6.06666666666667	6.06666666666667	10.6734298644428
"159"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1985	"Stress"	"BR17"	"Stress-BR17"	6.54666666666667	6.54666666666667	10.6734298644428
"160"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1985	"Stress"	"BR18"	"Stress-BR18"	6.45666666666667	6.45666666666667	10.6734298644428
"161"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1985	"Stress"	"BR19"	"Stress-BR19"	6.80333333333333	6.80333333333333	10.6734298644428
"162"	"2002-2003"	"Bhanga"	"2002-2003-Bhanga"	2002	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	6.85333333333333	6.85333333333333	10.6734298644428
"163"	"2002-2003"	"Comilla"	"2002-2003-Comilla"	2002	1983	"Long"	"BR12"	"Long-BR12"	4.58333333333333	4.58333333333333	21.6138837417918
"164"	"2002-2003"	"Comilla"	"2002-2003-Comilla"	2002	1983	"Long"	"BR14"	"Long-BR14"	5.95666666666667	5.95666666666667	21.6138837417917
"165"	"2002-2003"	"Comilla"	"2002-2003-Comilla"	2002	1983	"Long"	"BR15"	"Long-BR15"	4.49333333333333	4.49333333333333	21.6138837417917
"166"	"2002-2003"	"Comilla"	"2002-2003-Comilla"	2002	1983	"Long"	"BR16"	"Long-BR16"	5.83	5.83	21.6138837417918
