"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"32"	"2004-2005"	2004	1970	"Kustia"	"2004-2005-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	6.15
"33"	"2005-2006"	2005	1970	"Barisal"	"2005-2006-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	6.18
"34"	"2005-2006"	2005	1970	"Bhanga"	"2005-2006-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	5.37
"35"	"2005-2006"	2005	1970	"Comilla"	"2005-2006-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	6.73
"36"	"2005-2006"	2005	1970	"Gazipur"	"2005-2006-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.76
"37"	"2005-2006"	2005	1970	"Habiganj"	"2005-2006-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	6.5
"38"	"2005-2006"	2005	1970	"Rajshahi"	"2005-2006-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	3.78
"39"	"2005-2006"	2005	1970	"Rangpur"	"2005-2006-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.2
"40"	"2005-2006"	2005	1970	"Satkhira"	"2005-2006-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.73
"41"	"2005-2006"	2005	1970	"Kustia"	"2005-2006-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	7.18
"42"	"2006-2007"	2006	1970	"Barisal"	"2006-2007-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	6.25
"43"	"2006-2007"	2006	1970	"Bhanga"	"2006-2007-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.43
"44"	"2006-2007"	2006	1970	"Comilla"	"2006-2007-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	6.25
"45"	"2006-2007"	2006	1970	"Gazipur"	"2006-2007-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.99
"46"	"2006-2007"	2006	1970	"Habiganj"	"2006-2007-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	4.07
"47"	"2006-2007"	2006	1970	"Rajshahi"	"2006-2007-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.3
"48"	"2006-2007"	2006	1970	"Kustia"	"2006-2007-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	8.2
"49"	"2006-2007"	2006	1970	"Rangpur"	"2006-2007-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	5.44
"50"	"2006-2007"	2006	1970	"Satkhira"	"2006-2007-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.5
"51"	"2007-2008"	2007	1970	"Barisal"	"2007-2008-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	6.21
"52"	"2007-2008"	2007	1970	"Bhanga"	"2007-2008-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	5.83
"53"	"2007-2008"	2007	1970	"Comilla"	"2007-2008-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	6.54
"54"	"2007-2008"	2007	1970	"Gazipur"	"2007-2008-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.7
"55"	"2007-2008"	2007	1970	"Habiganj"	"2007-2008-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	4.07
"56"	"2007-2008"	2007	1970	"Rangpur"	"2007-2008-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.8
"57"	"2007-2008"	2007	1970	"Satkhira"	"2007-2008-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	8
"58"	"2007-2008"	2007	1970	"Kustia"	"2007-2008-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	6.67
"59"	"2007-2008"	2007	1970	"Rajshahi"	"2007-2008-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	4.88
"60"	"2008-2009"	2008	1970	"Barisal"	"2008-2009-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	5.51
"61"	"2008-2009"	2008	1970	"Bhanga"	"2008-2009-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.13
"62"	"2008-2009"	2008	1970	"Comilla"	"2008-2009-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.01
"63"	"2008-2009"	2008	1970	"Gazipur"	"2008-2009-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.65
"64"	"2008-2009"	2008	1970	"Habiganj"	"2008-2009-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	6.3
"65"	"2008-2009"	2008	1970	"Rajshahi"	"2008-2009-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	4.46
"66"	"2008-2009"	2008	1970	"Rangpur"	"2008-2009-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.9
"67"	"2008-2009"	2008	1970	"Kustia"	"2008-2009-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	7.2
"68"	"2008-2009"	2008	1970	"Satkhira"	"2008-2009-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	6.75
"69"	"2009-2010"	2009	1970	"Barisal"	"2009-2010-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.8
"70"	"2009-2010"	2009	1970	"Bhanga"	"2009-2010-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.13
"71"	"2009-2010"	2009	1970	"Comilla"	"2009-2010-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.76
"72"	"2009-2010"	2009	1970	"Gazipur"	"2009-2010-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	3.95
"73"	"2009-2010"	2009	1970	"Habiganj"	"2009-2010-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	6.1
"74"	"2009-2010"	2009	1970	"Rajshahi"	"2009-2010-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	4.67
"75"	"2009-2010"	2009	1970	"Rangpur"	"2009-2010-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.7
"76"	"2009-2010"	2009	1970	"Satkhira"	"2009-2010-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	6.63
"77"	"2009-2010"	2009	1970	"Kustia"	"2009-2010-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	5.93
"78"	"2010-2011"	2010	1970	"Barisal"	"2010-2011-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	5.84
"79"	"2010-2011"	2010	1970	"Bhanga"	"2010-2011-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.13
"80"	"2010-2011"	2010	1970	"Comilla"	"2010-2011-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.58
"81"	"2010-2011"	2010	1970	"Gazipur"	"2010-2011-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	2.75
"82"	"2010-2011"	2010	1970	"Habiganj"	"2010-2011-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.9
"83"	"2010-2011"	2010	1970	"Rangpur"	"2010-2011-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.3
"84"	"2010-2011"	2010	1970	"Satkhira"	"2010-2011-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	6.51
"85"	"2010-2011"	2010	1970	"Sonagazi"	"2010-2011-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	5.2
"86"	"2010-2011"	2010	1970	"Kustia"	"2010-2011-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	4.65
"87"	"2010-2011"	2010	1970	"Rajshahi"	"2010-2011-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.4
"88"	"2011-2012"	2011	1970	"Barisal"	"2011-2012-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	5.84
"89"	"2011-2012"	2011	1970	"Bhanga"	"2011-2012-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.13
"90"	"2011-2012"	2011	1970	"Comilla"	"2011-2012-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.15
"91"	"2011-2012"	2011	1970	"Gazipur"	"2011-2012-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	5.02
"92"	"2011-2012"	2011	1970	"Habiganj"	"2011-2012-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.9
"93"	"2011-2012"	2011	1970	"Rangpur"	"2011-2012-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.3
"94"	"2011-2012"	2011	1970	"Satkhira"	"2011-2012-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	6.2
"95"	"2011-2012"	2011	1970	"Sonagazi"	"2011-2012-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	5.2
"96"	"2011-2012"	2011	1970	"Kustia"	"2011-2012-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	4.65
"97"	"2011-2012"	2011	1970	"Rajshahi"	"2011-2012-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	6.13
"98"	"2012-2013"	2012	1970	"Barisal"	"2012-2013-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	5.57
"99"	"2012-2013"	2012	1970	"Bhanga"	"2012-2013-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.85
"100"	"2012-2013"	2012	1970	"Comilla"	"2012-2013-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.61
"101"	"2012-2013"	2012	1970	"Gazipur"	"2012-2013-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	7.11
"102"	"2012-2013"	2012	1970	"Habiganj"	"2012-2013-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	6.1
"103"	"2012-2013"	2012	1970	"Rangpur"	"2012-2013-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	6.35
"104"	"2012-2013"	2012	1970	"Satkhira"	"2012-2013-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	6.6
"105"	"2012-2013"	2012	1970	"Sonagazi"	"2012-2013-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	3.92
"106"	"2012-2013"	2012	1970	"Kustia"	"2012-2013-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	6.29
"107"	"2012-2013"	2012	1970	"Rajshahi"	"2012-2013-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.16
"108"	"2013-2014"	2013	1970	"Barisal"	"2013-2014-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.78
"109"	"2013-2014"	2013	1970	"Bhanga"	"2013-2014-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	5.8
"110"	"2013-2014"	2013	1970	"Comilla"	"2013-2014-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.12
"111"	"2013-2014"	2013	1970	"Gazipur"	"2013-2014-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	7.02
"112"	"2013-2014"	2013	1970	"Habiganj"	"2013-2014-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.51
"113"	"2013-2014"	2013	1970	"Rangpur"	"2013-2014-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	5.7
"114"	"2013-2014"	2013	1970	"Satkhira"	"2013-2014-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.79
"115"	"2013-2014"	2013	1970	"Sonagazi"	"2013-2014-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	5.32
"116"	"2013-2014"	2013	1970	"Kustia"	"2013-2014-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	5.62
"117"	"2013-2014"	2013	1970	"Rajshahi"	"2013-2014-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.23
"118"	"2014-2015"	2014	1970	"Barisal"	"2014-2015-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.02
"119"	"2014-2015"	2014	1970	"Bhanga"	"2014-2015-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	7.31
"120"	"2014-2015"	2014	1970	"Comilla"	"2014-2015-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	4.76
"121"	"2014-2015"	2014	1970	"Gazipur"	"2014-2015-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	6.2
"122"	"2014-2015"	2014	1970	"Habiganj"	"2014-2015-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.58
"123"	"2014-2015"	2014	1970	"Rangpur"	"2014-2015-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	2.55
"124"	"2014-2015"	2014	1970	"Satkhira"	"2014-2015-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.89
"125"	"2014-2015"	2014	1970	"Sonagazi"	"2014-2015-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	5.14
"126"	"2014-2015"	2014	1970	"Kustia"	"2014-2015-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	4.95
"127"	"2014-2015"	2014	1970	"Rajshahi"	"2014-2015-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.3
"128"	"2015-2016"	2015	1970	"Barisal"	"2015-2016-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.33
"129"	"2015-2016"	2015	1970	"Bhanga"	"2015-2016-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	7.01
"130"	"2015-2016"	2015	1970	"Comilla"	"2015-2016-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	4.32
"131"	"2015-2016"	2015	1970	"Gazipur"	"2015-2016-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	5.87
"132"	"2015-2016"	2015	1970	"Habiganj"	"2015-2016-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	6.4
"133"	"2015-2016"	2015	1970	"Rangpur"	"2015-2016-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	4.77
"134"	"2015-2016"	2015	1970	"Satkhira"	"2015-2016-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.64
"135"	"2015-2016"	2015	1970	"Sonagazi"	"2015-2016-Sonagazi"	"BR1"	"1"	"Short"	"Short-BR1"	5.63
"136"	"2015-2016"	2015	1970	"Kustia"	"2015-2016-Kustia"	"BR1"	"1"	"Short"	"Short-BR1"	6.73
"137"	"2015-2016"	2015	1970	"Rajshahi"	"2015-2016-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	6.09
"138"	"2001-2002"	2001	1970	"Barisal"	"2001-2002-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	6.72
"139"	"2001-2002"	2001	1970	"Bhanga"	"2001-2002-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	5.3
"140"	"2001-2002"	2001	1970	"Comilla"	"2001-2002-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	6.03
"141"	"2001-2002"	2001	1970	"Habiganj"	"2001-2002-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	5.65
"142"	"2001-2002"	2001	1970	"Rajshahi"	"2001-2002-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	4.6
"143"	"2001-2002"	2001	1970	"Rangpur"	"2001-2002-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	6.13
"144"	"2001-2002"	2001	1970	"Satkhira"	"2001-2002-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	5.12
"145"	"2002-2003"	2002	1970	"Barisal"	"2002-2003-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	3.91
"146"	"2002-2003"	2002	1970	"Bhanga"	"2002-2003-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	5.59
"147"	"2002-2003"	2002	1970	"Comilla"	"2002-2003-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	4.88
"148"	"2002-2003"	2002	1970	"Gazipur"	"2002-2003-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	4.46
"149"	"2002-2003"	2002	1970	"Habiganj"	"2002-2003-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	5.32
"150"	"2002-2003"	2002	1970	"Rajshahi"	"2002-2003-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	2.9
"151"	"2002-2003"	2002	1970	"Rangpur"	"2002-2003-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	3.54
"152"	"2002-2003"	2002	1970	"Satkhira"	"2002-2003-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	4.45
"153"	"2003-2004"	2003	1970	"Barisal"	"2003-2004-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	4.47
"154"	"2003-2004"	2003	1970	"Bhanga"	"2003-2004-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	2.33
"155"	"2003-2004"	2003	1970	"Comilla"	"2003-2004-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	4.22
"156"	"2003-2004"	2003	1970	"Gazipur"	"2003-2004-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	2.42
"157"	"2003-2004"	2003	1970	"Habiganj"	"2003-2004-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	4.03
"158"	"2003-2004"	2003	1970	"Rajshahi"	"2003-2004-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	1.11
"159"	"2003-2004"	2003	1970	"Rangpur"	"2003-2004-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	4.09
"160"	"2003-2004"	2003	1970	"Satkhira"	"2003-2004-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	5.24
"161"	"2004-2005"	2004	1970	"Barisal"	"2004-2005-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	4.76
"162"	"2004-2005"	2004	1970	"Bhanga"	"2004-2005-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	6.24
"163"	"2004-2005"	2004	1970	"Comilla"	"2004-2005-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	6.26
"164"	"2004-2005"	2004	1970	"Gazipur"	"2004-2005-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	4.75
"165"	"2004-2005"	2004	1970	"Habiganj"	"2004-2005-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	4.51
"166"	"2004-2005"	2004	1970	"Rajshahi"	"2004-2005-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	6.18
"167"	"2004-2005"	2004	1970	"Rangpur"	"2004-2005-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	5.27
"168"	"2004-2005"	2004	1970	"Satkhira"	"2004-2005-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	5.43
"169"	"2004-2005"	2004	1970	"Kustia"	"2004-2005-Kustia"	"BR1"	"2"	"Short"	"Short-BR1"	6.04
"170"	"2005-2006"	2005	1970	"Barisal"	"2005-2006-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	5.03
"171"	"2005-2006"	2005	1970	"Bhanga"	"2005-2006-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	5.44
"172"	"2005-2006"	2005	1970	"Comilla"	"2005-2006-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	6.51
"173"	"2005-2006"	2005	1970	"Gazipur"	"2005-2006-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	6.37
"174"	"2005-2006"	2005	1970	"Habiganj"	"2005-2006-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	6.4
"175"	"2005-2006"	2005	1970	"Rajshahi"	"2005-2006-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	2.87
"176"	"2005-2006"	2005	1970	"Rangpur"	"2005-2006-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	2.61
"177"	"2005-2006"	2005	1970	"Satkhira"	"2005-2006-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	5.91
"178"	"2005-2006"	2005	1970	"Kustia"	"2005-2006-Kustia"	"BR1"	"2"	"Short"	"Short-BR1"	7.1
"179"	"2006-2007"	2006	1970	"Barisal"	"2006-2007-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	6.23
"180"	"2006-2007"	2006	1970	"Bhanga"	"2006-2007-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	6.62
"181"	"2006-2007"	2006	1970	"Comilla"	"2006-2007-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	6.37
"182"	"2006-2007"	2006	1970	"Gazipur"	"2006-2007-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	5.29
"183"	"2006-2007"	2006	1970	"Habiganj"	"2006-2007-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	3.9
"184"	"2006-2007"	2006	1970	"Rajshahi"	"2006-2007-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	4.6
"185"	"2006-2007"	2006	1970	"Kustia"	"2006-2007-Kustia"	"BR1"	"2"	"Short"	"Short-BR1"	8.16
"186"	"2006-2007"	2006	1970	"Rangpur"	"2006-2007-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	5.64
"187"	"2006-2007"	2006	1970	"Satkhira"	"2006-2007-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	5.67
"188"	"2007-2008"	2007	1970	"Barisal"	"2007-2008-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	5.63
"189"	"2007-2008"	2007	1970	"Bhanga"	"2007-2008-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	5.64
"190"	"2007-2008"	2007	1970	"Comilla"	"2007-2008-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	6.29
"191"	"2007-2008"	2007	1970	"Gazipur"	"2007-2008-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	4.7
"192"	"2007-2008"	2007	1970	"Habiganj"	"2007-2008-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	3.9
"193"	"2007-2008"	2007	1970	"Rangpur"	"2007-2008-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	2.3
"194"	"2007-2008"	2007	1970	"Satkhira"	"2007-2008-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	4
"195"	"2007-2008"	2007	1970	"Kustia"	"2007-2008-Kustia"	"BR1"	"2"	"Short"	"Short-BR1"	6.52
"196"	"2007-2008"	2007	1970	"Rajshahi"	"2007-2008-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	5.02
"197"	"2008-2009"	2008	1970	"Barisal"	"2008-2009-Barisal"	"BR1"	"2"	"Short"	"Short-BR1"	5.19
"198"	"2008-2009"	2008	1970	"Bhanga"	"2008-2009-Bhanga"	"BR1"	"2"	"Short"	"Short-BR1"	6.13
"199"	"2008-2009"	2008	1970	"Comilla"	"2008-2009-Comilla"	"BR1"	"2"	"Short"	"Short-BR1"	4.9
"200"	"2008-2009"	2008	1970	"Gazipur"	"2008-2009-Gazipur"	"BR1"	"2"	"Short"	"Short-BR1"	5.35
"201"	"2008-2009"	2008	1970	"Habiganj"	"2008-2009-Habiganj"	"BR1"	"2"	"Short"	"Short-BR1"	6.6
"202"	"2008-2009"	2008	1970	"Rajshahi"	"2008-2009-Rajshahi"	"BR1"	"2"	"Short"	"Short-BR1"	5.43
"203"	"2008-2009"	2008	1970	"Rangpur"	"2008-2009-Rangpur"	"BR1"	"2"	"Short"	"Short-BR1"	2.5
"204"	"2008-2009"	2008	1970	"Kustia"	"2008-2009-Kustia"	"BR1"	"2"	"Short"	"Short-BR1"	6.75
"205"	"2008-2009"	2008	1970	"Satkhira"	"2008-2009-Satkhira"	"BR1"	"2"	"Short"	"Short-BR1"	4.84
