"Y"	"tj"	"ri"	"L"	"Env"	"G"	"Rep"	"Group"	"Yield"
"2014"	2014	1980	"Kustia"	"2014-Kustia"	"BR10"	"1"	"Long"	4.83
"2014"	2014	1980	"Sonagazi"	"2014-Sonagazi"	"BR10"	"1"	"Long"	3.23
"2014"	2014	1980	"Comilla"	"2014-Comilla"	"BR10"	"1"	"Long"	4.71
"2014"	2014	1980	"Gazipur"	"2014-Gazipur"	"BR10"	"1"	"Long"	7
"2014"	2014	1980	"Rajshahi"	"2014-Rajshahi"	"BR10"	"1"	"Long"	6.822627907
"2014"	2014	1980	"Rangpur"	"2014-Rangpur"	"BR10"	"1"	"Long"	5.6
"2014"	2014	1980	"Satkhira"	"2014-Satkhira"	"BR10"	"1"	"Long"	5.23
"2014"	2014	1980	"Bhanga"	"2014-Bhanga"	"BR10"	"1"	"Long"	3.75
"2015"	2015	1980	"Kustia"	"2015-Kustia"	"BR10"	"1"	"Long"	6.57
"2015"	2015	1980	"Sonagazi"	"2015-Sonagazi"	"BR10"	"1"	"Long"	4.00907907
"2015"	2015	1980	"Comilla"	"2015-Comilla"	"BR10"	"1"	"Long"	5.359364532
"2015"	2015	1980	"Gazipur"	"2015-Gazipur"	"BR10"	"1"	"Long"	6.643125942
"2015"	2015	1980	"Rajshahi"	"2015-Rajshahi"	"BR10"	"1"	"Long"	6.408139535
"2015"	2015	1980	"Rangpur"	"2015-Rangpur"	"BR10"	"1"	"Long"	3.2
"2015"	2015	1980	"Satkhira"	"2015-Satkhira"	"BR10"	"1"	"Long"	5.079069767
"2015"	2015	1980	"Bhanga"	"2015-Bhanga"	"BR10"	"1"	"Long"	4.8975
"2001"	2001	1980	"Barisal"	"2001-Barisal"	"BR10"	"2"	"Long"	3.75
"2001"	2001	1980	"Comilla"	"2001-Comilla"	"BR10"	"2"	"Long"	4.543255814
"2001"	2001	1980	"Gazipur"	"2001-Gazipur"	"BR10"	"2"	"Long"	3.994883721
"2001"	2001	1980	"Rajshahi"	"2001-Rajshahi"	"BR10"	"2"	"Long"	3.77
"2001"	2001	1980	"Rangpur"	"2001-Rangpur"	"BR10"	"2"	"Long"	3.660377907
"2001"	2001	1980	"Satkhira"	"2001-Satkhira"	"BR10"	"2"	"Long"	6.920813953
"2001"	2001	1980	"Sonagazi"	"2001-Sonagazi"	"BR10"	"2"	"Long"	3.994883721
"2002"	2002	1980	"Barisal"	"2002-Barisal"	"BR10"	"2"	"Long"	4.7
"2002"	2002	1980	"Comilla"	"2002-Comilla"	"BR10"	"2"	"Long"	6.05
"2002"	2002	1980	"Gazipur"	"2002-Gazipur"	"BR10"	"2"	"Long"	4.017385465
"2002"	2002	1980	"Rajshahi"	"2002-Rajshahi"	"BR10"	"2"	"Long"	4.069
"2002"	2002	1980	"Rangpur"	"2002-Rangpur"	"BR10"	"2"	"Long"	3.52
"2002"	2002	1980	"Satkhira"	"2002-Satkhira"	"BR10"	"2"	"Long"	6.494651163
"2002"	2002	1980	"Sonagazi"	"2002-Sonagazi"	"BR10"	"2"	"Long"	4.293883721
"2003"	2003	1980	"Barisal"	"2003-Barisal"	"BR10"	"2"	"Long"	4.52244186
"2003"	2003	1980	"Comilla"	"2003-Comilla"	"BR10"	"2"	"Long"	2.810244186
"2003"	2003	1980	"Gazipur"	"2003-Gazipur"	"BR10"	"2"	"Long"	2.258232558
"2003"	2003	1980	"Rajshahi"	"2003-Rajshahi"	"BR10"	"2"	"Long"	3.9195
"2003"	2003	1980	"Rangpur"	"2003-Rangpur"	"BR10"	"2"	"Long"	3.800755814
"2003"	2003	1980	"Satkhira"	"2003-Satkhira"	"BR10"	"2"	"Long"	7.346976744
"2003"	2003	1980	"Sonagazi"	"2003-Sonagazi"	"BR10"	"2"	"Long"	3.15
"2004"	2004	1980	"Barisal"	"2004-Barisal"	"BR10"	"2"	"Long"	3.811678463
"2004"	2004	1980	"Comilla"	"2004-Comilla"	"BR10"	"2"	"Long"	2.277331395
"2004"	2004	1980	"Gazipur"	"2004-Gazipur"	"BR10"	"2"	"Long"	4.632093023
"2004"	2004	1980	"Rajshahi"	"2004-Rajshahi"	"BR10"	"2"	"Long"	4.023069767
"2004"	2004	1980	"Rangpur"	"2004-Rangpur"	"BR10"	"2"	"Long"	3.6
"2004"	2004	1980	"Satkhira"	"2004-Satkhira"	"BR10"	"2"	"Long"	6.190697674
"2004"	2004	1980	"Sonagazi"	"2004-Sonagazi"	"BR10"	"2"	"Long"	2.778012685
"2004"	2004	1980	"Kustia"	"2004-Kustia"	"BR10"	"2"	"Long"	3.367601163
"2005"	2005	1980	"Barisal"	"2005-Barisal"	"BR10"	"2"	"Long"	5.14
"2005"	2005	1980	"Comilla"	"2005-Comilla"	"BR10"	"2"	"Long"	3.682790698
"2005"	2005	1980	"Gazipur"	"2005-Gazipur"	"BR10"	"2"	"Long"	3.75872093
"2005"	2005	1980	"Rajshahi"	"2005-Rajshahi"	"BR10"	"2"	"Long"	6.560465116
"2005"	2005	1980	"Rangpur"	"2005-Rangpur"	"BR10"	"2"	"Long"	1.60065407
"2005"	2005	1980	"Satkhira"	"2005-Satkhira"	"BR10"	"2"	"Long"	6.497674419
"2005"	2005	1980	"Sonagazi"	"2005-Sonagazi"	"BR10"	"2"	"Long"	3.2
"2005"	2005	1980	"Kustia"	"2005-Kustia"	"BR10"	"2"	"Long"	5.043953488
"2006"	2006	1980	"Barisal"	"2006-Barisal"	"BR10"	"2"	"Long"	4.55
"2006"	2006	1980	"Comilla"	"2006-Comilla"	"BR10"	"2"	"Long"	1.15
"2006"	2006	1980	"Gazipur"	"2006-Gazipur"	"BR10"	"2"	"Long"	5.1
"2006"	2006	1980	"Rajshahi"	"2006-Rajshahi"	"BR10"	"2"	"Long"	5.1
"2006"	2006	1980	"Rangpur"	"2006-Rangpur"	"BR10"	"2"	"Long"	4.6
"2006"	2006	1980	"Satkhira"	"2006-Satkhira"	"BR10"	"2"	"Long"	5.8
"2006"	2006	1980	"Sonagazi"	"2006-Sonagazi"	"BR10"	"2"	"Long"	5.17
"2006"	2006	1980	"Kustia"	"2006-Kustia"	"BR10"	"2"	"Long"	6.1
"2007"	2007	1980	"Barisal"	"2007-Barisal"	"BR10"	"2"	"Long"	3.636
"2007"	2007	1980	"Comilla"	"2007-Comilla"	"BR10"	"2"	"Long"	3.18
"2007"	2007	1980	"Gazipur"	"2007-Gazipur"	"BR10"	"2"	"Long"	4.15
"2007"	2007	1980	"Rajshahi"	"2007-Rajshahi"	"BR10"	"2"	"Long"	5.2
"2007"	2007	1980	"Rangpur"	"2007-Rangpur"	"BR10"	"2"	"Long"	2.4
"2007"	2007	1980	"Satkhira"	"2007-Satkhira"	"BR10"	"2"	"Long"	3.75
"2007"	2007	1980	"Sonagazi"	"2007-Sonagazi"	"BR10"	"2"	"Long"	3.48
"2007"	2007	1980	"Kustia"	"2007-Kustia"	"BR10"	"2"	"Long"	4.65
"2008"	2008	1980	"Barisal"	"2008-Barisal"	"BR10"	"2"	"Long"	3.443
"2008"	2008	1980	"Comilla"	"2008-Comilla"	"BR10"	"2"	"Long"	2.075
"2008"	2008	1980	"Gazipur"	"2008-Gazipur"	"BR10"	"2"	"Long"	5.1
"2008"	2008	1980	"Rajshahi"	"2008-Rajshahi"	"BR10"	"2"	"Long"	3.81
"2008"	2008	1980	"Rangpur"	"2008-Rangpur"	"BR10"	"2"	"Long"	4.3
"2008"	2008	1980	"Satkhira"	"2008-Satkhira"	"BR10"	"2"	"Long"	4.775
"2008"	2008	1980	"Sonagazi"	"2008-Sonagazi"	"BR10"	"2"	"Long"	1.5
"2008"	2008	1980	"Kustia"	"2008-Kustia"	"BR10"	"2"	"Long"	5.025
"2009"	2009	1980	"Barisal"	"2009-Barisal"	"BR10"	"2"	"Long"	3.25
"2009"	2009	1980	"Comilla"	"2009-Comilla"	"BR10"	"2"	"Long"	3.5225
"2009"	2009	1980	"Gazipur"	"2009-Gazipur"	"BR10"	"2"	"Long"	4.25
"2009"	2009	1980	"Rajshahi"	"2009-Rajshahi"	"BR10"	"2"	"Long"	4.505
"2009"	2009	1980	"Rangpur"	"2009-Rangpur"	"BR10"	"2"	"Long"	3.75
"2009"	2009	1980	"Satkhira"	"2009-Satkhira"	"BR10"	"2"	"Long"	4.2625
"2009"	2009	1980	"Sonagazi"	"2009-Sonagazi"	"BR10"	"2"	"Long"	1.55
"2009"	2009	1980	"Kustia"	"2009-Kustia"	"BR10"	"2"	"Long"	5.4
"2010"	2010	1980	"Barisal"	"2010-Barisal"	"BR10"	"2"	"Long"	3.42
"2010"	2010	1980	"Comilla"	"2010-Comilla"	"BR10"	"2"	"Long"	4.97
"2010"	2010	1980	"Gazipur"	"2010-Gazipur"	"BR10"	"2"	"Long"	5.25
"2010"	2010	1980	"Rajshahi"	"2010-Rajshahi"	"BR10"	"2"	"Long"	5.8025
"2010"	2010	1980	"Rangpur"	"2010-Rangpur"	"BR10"	"2"	"Long"	4.6
"2010"	2010	1980	"Satkhira"	"2010-Satkhira"	"BR10"	"2"	"Long"	4.51875
"2010"	2010	1980	"Sonagazi"	"2010-Sonagazi"	"BR10"	"2"	"Long"	4.79
"2010"	2010	1980	"Kustia"	"2010-Kustia"	"BR10"	"2"	"Long"	6.9
"2011"	2011	1980	"Barisal"	"2011-Barisal"	"BR10"	"2"	"Long"	3.59
"2011"	2011	1980	"Comilla"	"2011-Comilla"	"BR10"	"2"	"Long"	1.73
"2011"	2011	1980	"Gazipur"	"2011-Gazipur"	"BR10"	"2"	"Long"	4.3
"2011"	2011	1980	"Rajshahi"	"2011-Rajshahi"	"BR10"	"2"	"Long"	7.1
"2011"	2011	1980	"Rangpur"	"2011-Rangpur"	"BR10"	"2"	"Long"	4.4
"2011"	2011	1980	"Satkhira"	"2011-Satkhira"	"BR10"	"2"	"Long"	4.390625
"2011"	2011	1980	"Sonagazi"	"2011-Sonagazi"	"BR10"	"2"	"Long"	5.5
"2011"	2011	1980	"Kustia"	"2011-Kustia"	"BR10"	"2"	"Long"	4.55
"2012"	2012	1980	"Kustia"	"2012-Kustia"	"BR10"	"2"	"Long"	5.3
"2012"	2012	1980	"Sonagazi"	"2012-Sonagazi"	"BR10"	"2"	"Long"	4.81
"2012"	2012	1980	"Comilla"	"2012-Comilla"	"BR10"	"2"	"Long"	5.19
"2012"	2012	1980	"Gazipur"	"2012-Gazipur"	"BR10"	"2"	"Long"	5.987
"2012"	2012	1980	"Rajshahi"	"2012-Rajshahi"	"BR10"	"2"	"Long"	5.6
"2012"	2012	1980	"Rangpur"	"2012-Rangpur"	"BR10"	"2"	"Long"	2.4
"2012"	2012	1980	"Satkhira"	"2012-Satkhira"	"BR10"	"2"	"Long"	2.97
"2012"	2012	1980	"Barisal"	"2012-Barisal"	"BR10"	"2"	"Long"	3.54
"2013"	2013	1980	"Kustia"	"2013-Kustia"	"BR10"	"2"	"Long"	5.2
"2013"	2013	1980	"Sonagazi"	"2013-Sonagazi"	"BR10"	"2"	"Long"	4.68
"2013"	2013	1980	"Comilla"	"2013-Comilla"	"BR10"	"2"	"Long"	5.065
"2013"	2013	1980	"Gazipur"	"2013-Gazipur"	"BR10"	"2"	"Long"	6.5
"2013"	2013	1980	"Rajshahi"	"2013-Rajshahi"	"BR10"	"2"	"Long"	5.54
"2013"	2013	1980	"Rangpur"	"2013-Rangpur"	"BR10"	"2"	"Long"	3
"2013"	2013	1980	"Barisal"	"2013-Barisal"	"BR10"	"2"	"Long"	5.06
"2014"	2014	1980	"Kustia"	"2014-Kustia"	"BR10"	"2"	"Long"	4.59
"2014"	2014	1980	"Sonagazi"	"2014-Sonagazi"	"BR10"	"2"	"Long"	3.16
"2014"	2014	1980	"Comilla"	"2014-Comilla"	"BR10"	"2"	"Long"	4.94
"2014"	2014	1980	"Gazipur"	"2014-Gazipur"	"BR10"	"2"	"Long"	7
"2014"	2014	1980	"Rajshahi"	"2014-Rajshahi"	"BR10"	"2"	"Long"	5.60027907
"2014"	2014	1980	"Rangpur"	"2014-Rangpur"	"BR10"	"2"	"Long"	5
"2014"	2014	1980	"Satkhira"	"2014-Satkhira"	"BR10"	"2"	"Long"	5.04
"2014"	2014	1980	"Bhanga"	"2014-Bhanga"	"BR10"	"2"	"Long"	4
"2015"	2015	1980	"Kustia"	"2015-Kustia"	"BR10"	"2"	"Long"	5.51
"2015"	2015	1980	"Sonagazi"	"2015-Sonagazi"	"BR10"	"2"	"Long"	4.189827907
"2015"	2015	1980	"Comilla"	"2015-Comilla"	"BR10"	"2"	"Long"	5.605799598
"2015"	2015	1980	"Gazipur"	"2015-Gazipur"	"BR10"	"2"	"Long"	6.293218885
"2015"	2015	1980	"Rajshahi"	"2015-Rajshahi"	"BR10"	"2"	"Long"	5.643
"2015"	2015	1980	"Rangpur"	"2015-Rangpur"	"BR10"	"2"	"Long"	2.5
"2015"	2015	1980	"Satkhira"	"2015-Satkhira"	"BR10"	"2"	"Long"	5.389922481
"2015"	2015	1980	"Bhanga"	"2015-Bhanga"	"BR10"	"2"	"Long"	4.6
"2001"	2001	1980	"Barisal"	"2001-Barisal"	"BR10"	"3"	"Long"	4.37
"2001"	2001	1980	"Comilla"	"2001-Comilla"	"BR10"	"3"	"Long"	5.219360465
"2001"	2001	1980	"Gazipur"	"2001-Gazipur"	"BR10"	"3"	"Long"	3.649767442
"2001"	2001	1980	"Rajshahi"	"2001-Rajshahi"	"BR10"	"3"	"Long"	3.94
"2001"	2001	1980	"Rangpur"	"2001-Rangpur"	"BR10"	"3"	"Long"	3.595901163
"2001"	2001	1980	"Satkhira"	"2001-Satkhira"	"BR10"	"3"	"Long"	6.920116279
"2001"	2001	1980	"Sonagazi"	"2001-Sonagazi"	"BR10"	"3"	"Long"	3.649767442
"2002"	2002	1980	"Barisal"	"2002-Barisal"	"BR10"	"3"	"Long"	4.7
"2002"	2002	1980	"Comilla"	"2002-Comilla"	"BR10"	"3"	"Long"	4
"2002"	2002	1980	"Gazipur"	"2002-Gazipur"	"BR10"	"3"	"Long"	4.264181395
"2002"	2002	1980	"Rajshahi"	"2002-Rajshahi"	"BR10"	"3"	"Long"	4.239
"2002"	2002	1980	"Rangpur"	"2002-Rangpur"	"BR10"	"3"	"Long"	3.4
"2002"	2002	1980	"Satkhira"	"2002-Satkhira"	"BR10"	"3"	"Long"	6.616046512
"2002"	2002	1980	"Sonagazi"	"2002-Sonagazi"	"BR10"	"3"	"Long"	3.948767442
"2003"	2003	1980	"Barisal"	"2003-Barisal"	"BR10"	"3"	"Long"	2.817151163
"2003"	2003	1980	"Comilla"	"2003-Comilla"	"BR10"	"3"	"Long"	1.826169767
"2003"	2003	1980	"Gazipur"	"2003-Gazipur"	"BR10"	"3"	"Long"	2.530534884
"2003"	2003	1980	"Rajshahi"	"2003-Rajshahi"	"BR10"	"3"	"Long"	4.0895
"2003"	2003	1980	"Rangpur"	"2003-Rangpur"	"BR10"	"3"	"Long"	3.791802326
"2003"	2003	1980	"Satkhira"	"2003-Satkhira"	"BR10"	"3"	"Long"	7.224186047
"2003"	2003	1980	"Sonagazi"	"2003-Sonagazi"	"BR10"	"3"	"Long"	1.55
"2004"	2004	1980	"Barisal"	"2004-Barisal"	"BR10"	"3"	"Long"	3.545421512
"2004"	2004	1980	"Comilla"	"2004-Comilla"	"BR10"	"3"	"Long"	3.053343023
"2004"	2004	1980	"Gazipur"	"2004-Gazipur"	"BR10"	"3"	"Long"	4.710930233
"2004"	2004	1980	"Rajshahi"	"2004-Rajshahi"	"BR10"	"3"	"Long"	4.475930233
"2004"	2004	1980	"Rangpur"	"2004-Rangpur"	"BR10"	"3"	"Long"	2.61
"2004"	2004	1980	"Satkhira"	"2004-Satkhira"	"BR10"	"3"	"Long"	6.139534884
"2004"	2004	1980	"Sonagazi"	"2004-Sonagazi"	"BR10"	"3"	"Long"	2.793868922
"2004"	2004	1980	"Kustia"	"2004-Kustia"	"BR10"	"3"	"Long"	2.25615
"2005"	2005	1980	"Barisal"	"2005-Barisal"	"BR10"	"3"	"Long"	6.078
"2005"	2005	1980	"Comilla"	"2005-Comilla"	"BR10"	"3"	"Long"	3.931744186
"2005"	2005	1980	"Gazipur"	"2005-Gazipur"	"BR10"	"3"	"Long"	3.512209302
"2005"	2005	1980	"Rajshahi"	"2005-Rajshahi"	"BR10"	"3"	"Long"	6.280930233
"2005"	2005	1980	"Rangpur"	"2005-Rangpur"	"BR10"	"3"	"Long"	1.686811506
"2005"	2005	1980	"Satkhira"	"2005-Satkhira"	"BR10"	"3"	"Long"	6.385116279
"2005"	2005	1980	"Sonagazi"	"2005-Sonagazi"	"BR10"	"3"	"Long"	3.26
"2005"	2005	1980	"Kustia"	"2005-Kustia"	"BR10"	"3"	"Long"	5.470151163
"2006"	2006	1980	"Barisal"	"2006-Barisal"	"BR10"	"3"	"Long"	4.189
"2006"	2006	1980	"Comilla"	"2006-Comilla"	"BR10"	"3"	"Long"	0.88
"2006"	2006	1980	"Gazipur"	"2006-Gazipur"	"BR10"	"3"	"Long"	5.1
"2006"	2006	1980	"Rajshahi"	"2006-Rajshahi"	"BR10"	"3"	"Long"	5.6
"2006"	2006	1980	"Rangpur"	"2006-Rangpur"	"BR10"	"3"	"Long"	5.05
"2006"	2006	1980	"Satkhira"	"2006-Satkhira"	"BR10"	"3"	"Long"	5.8
"2006"	2006	1980	"Sonagazi"	"2006-Sonagazi"	"BR10"	"3"	"Long"	6.32
"2006"	2006	1980	"Kustia"	"2006-Kustia"	"BR10"	"3"	"Long"	6.1
"2007"	2007	1980	"Barisal"	"2007-Barisal"	"BR10"	"3"	"Long"	4.607
"2007"	2007	1980	"Comilla"	"2007-Comilla"	"BR10"	"3"	"Long"	3.06
"2007"	2007	1980	"Gazipur"	"2007-Gazipur"	"BR10"	"3"	"Long"	3.9
"2007"	2007	1980	"Rajshahi"	"2007-Rajshahi"	"BR10"	"3"	"Long"	5.4
