Y	t.k	r.i	L	Env	G2	Group	mean.yield	G
2005	2005	1970	Bhanga	2005-2006-Bhanga	BR1	Short	5.29	BR1
2005	2005	1970	Comilla	2005-2006-Comilla	BR1	Short	6.476666667	BR1
2005	2005	1970	Gazipur	2005-2006-Gazipur	BR1	Short	5.683333333	BR1
2005	2005	1970	Habiganj	2005-2006-Habiganj	BR1	Short	6.466666667	BR1
2005	2005	1970	Rajshahi	2005-2006-Rajshahi	BR1	Short	3.356666667	BR1
2005	2005	1970	Rangpur	2005-2006-Rangpur	BR1	Short	2.406666667	BR1
2005	2005	1970	Satkhira	2005-2006-Satkhira	BR1	Short	5.723333333	BR1
2005	2005	1970	Kustia	2005-2006-Kustia	BR1	Short	7.103333333	BR1
2006	2006	1970	Barisal	2006-2007-Barisal	BR1	Short	6.163333333	BR1
2006	2006	1970	Bhanga	2006-2007-Bhanga	BR1	Short	6.443333333	BR1
2006	2006	1970	Comilla	2006-2007-Comilla	BR1	Short	6.366666667	BR1
2006	2006	1970	Gazipur	2006-2007-Gazipur	BR1	Short	5.096666667	BR1
2006	2006	1970	Habiganj	2006-2007-Habiganj	BR1	Short	4.196666667	BR1
2006	2006	1970	Rajshahi	2006-2007-Rajshahi	BR1	Short	5.066666667	BR1
2006	2006	1970	Kustia	2006-2007-Kustia	BR1	Short	8.2	BR1
2006	2006	1970	Rangpur	2006-2007-Rangpur	BR1	Short	5.43	BR1
2006	2006	1970	Satkhira	2006-2007-Satkhira	BR1	Short	5.516666667	BR1
2007	2007	1970	Barisal	2007-2008-Barisal	BR1	Short	5.903333333	BR1
2007	2007	1970	Bhanga	2007-2008-Bhanga	BR1	Short	5.7	BR1
2007	2007	1970	Comilla	2007-2008-Comilla	BR1	Short	6.403333333	BR1
2007	2007	1970	Gazipur	2007-2008-Gazipur	BR1	Short	4.766666667	BR1
2007	2007	1970	Habiganj	2007-2008-Habiganj	BR1	Short	4.196666667	BR1
2007	2007	1970	Rangpur	2007-2008-Rangpur	BR1	Short	2.466666667	BR1
2007	2007	1970	Satkhira	2007-2008-Satkhira	BR1	Short	6.833333333	BR1
2007	2007	1970	Kustia	2007-2008-Kustia	BR1	Short	6.676666667	BR1
2007	2007	1970	Rajshahi	2007-2008-Rajshahi	BR1	Short	4.8	BR1
2008	2008	1970	Barisal	2008-2009-Barisal	BR1	Short	5.363333333	BR1
2008	2008	1970	Bhanga	2008-2009-Bhanga	BR1	Short	6.073333333	BR1
2008	2008	1970	Comilla	2008-2009-Comilla	BR1	Short	5.036666667	BR1
2008	2008	1970	Gazipur	2008-2009-Gazipur	BR1	Short	4.9	BR1
2008	2008	1970	Habiganj	2008-2009-Habiganj	BR1	Short	6.466666667	BR1
2008	2008	1970	Rajshahi	2008-2009-Rajshahi	BR1	Short	4.526666667	BR1
2008	2008	1970	Rangpur	2008-2009-Rangpur	BR1	Short	2.6	BR1
2008	2008	1970	Kustia	2008-2009-Kustia	BR1	Short	7.216666667	BR1
2008	2008	1970	Satkhira	2008-2009-Satkhira	BR1	Short	6.176666667	BR1
2009	2009	1970	Barisal	2009-2010-Barisal	BR1	Short	4.816666667	BR1
2009	2009	1970	Bhanga	2009-2010-Bhanga	BR1	Short	5.97	BR1
2009	2009	1970	Comilla	2009-2010-Comilla	BR1	Short	5.77	BR1
2009	2009	1970	Gazipur	2009-2010-Gazipur	BR1	Short	3.803333333	BR1
2009	2009	1970	Habiganj	2009-2010-Habiganj	BR1	Short	6.016666667	BR1
2009	2009	1970	Rajshahi	2009-2010-Rajshahi	BR1	Short	4.66	BR1
2009	2009	1970	Rangpur	2009-2010-Rangpur	BR1	Short	2.533333333	BR1
2009	2009	1970	Satkhira	2009-2010-Satkhira	BR1	Short	5.756666667	BR1
2009	2009	1970	Kustia	2009-2010-Kustia	BR1	Short	5.953333333	BR1
2010	2010	1970	Barisal	2010-2011-Barisal	BR1	Short	5.263333333	BR1
2010	2010	1970	Bhanga	2010-2011-Bhanga	BR1	Short	5.87	BR1
2010	2010	1970	Comilla	2010-2011-Comilla	BR1	Short	5.59	BR1
2010	2010	1970	Gazipur	2010-2011-Gazipur	BR1	Short	2.683333333	BR1
2010	2010	1970	Habiganj	2010-2011-Habiganj	BR1	Short	5.566666667	BR1
2010	2010	1970	Rangpur	2010-2011-Rangpur	BR1	Short	2.466666667	BR1
2010	2010	1970	Satkhira	2010-2011-Satkhira	BR1	Short	5.336666667	BR1
2010	2010	1970	Sonagazi	2010-2011-Sonagazi	BR1	Short	5.2	BR1
2010	2010	1970	Kustia	2010-2011-Kustia	BR1	Short	4.683333333	BR1
2010	2010	1970	Rajshahi	2010-2011-Rajshahi	BR1	Short	5.62	BR1
2011	2011	1970	Barisal	2011-2012-Barisal	BR1	Short	5.263333333	BR1
2011	2011	1970	Bhanga	2011-2012-Bhanga	BR1	Short	5.87	BR1
2011	2011	1970	Comilla	2011-2012-Comilla	BR1	Short	5.303333333	BR1
2011	2011	1970	Gazipur	2011-2012-Gazipur	BR1	Short	5.203333333	BR1
2011	2011	1970	Habiganj	2011-2012-Habiganj	BR1	Short	5.566666667	BR1
2011	2011	1970	Rangpur	2011-2012-Rangpur	BR1	Short	2.466666667	BR1
2011	2011	1970	Satkhira	2011-2012-Satkhira	BR1	Short	6.416666667	BR1
2011	2011	1970	Sonagazi	2011-2012-Sonagazi	BR1	Short	5.2	BR1
2011	2011	1970	Kustia	2011-2012-Kustia	BR1	Short	4.683333333	BR1
2011	2011	1970	Rajshahi	2011-2012-Rajshahi	BR1	Short	6.576666667	BR1
2012	2012	1970	Barisal	2012-2013-Barisal	BR1	Short	5.29	BR1
2012	2012	1970	Bhanga	2012-2013-Bhanga	BR1	Short	6.84	BR1
2012	2012	1970	Comilla	2012-2013-Comilla	BR1	Short	5.5	BR1
2012	2012	1970	Gazipur	2012-2013-Gazipur	BR1	Short	6.363333333	BR1
2012	2012	1970	Habiganj	2012-2013-Habiganj	BR1	Short	5.866666667	BR1
2012	2012	1970	Rangpur	2012-2013-Rangpur	BR1	Short	6.25	BR1
2012	2012	1970	Satkhira	2012-2013-Satkhira	BR1	Short	6.8	BR1
2012	2012	1970	Sonagazi	2012-2013-Sonagazi	BR1	Short	4.013333333	BR1
2012	2012	1970	Kustia	2012-2013-Kustia	BR1	Short	6.356666667	BR1
2012	2012	1970	Rajshahi	2012-2013-Rajshahi	BR1	Short	4.906666667	BR1
2013	2013	1970	Barisal	2013-2014-Barisal	BR1	Short	4.646666667	BR1
2013	2013	1970	Bhanga	2013-2014-Bhanga	BR1	Short	5.766666667	BR1
2013	2013	1970	Comilla	2013-2014-Comilla	BR1	Short	5.18	BR1
2013	2013	1970	Gazipur	2013-2014-Gazipur	BR1	Short	6.706666667	BR1
2013	2013	1970	Habiganj	2013-2014-Habiganj	BR1	Short	5.796666667	BR1
2013	2013	1970	Rangpur	2013-2014-Rangpur	BR1	Short	5.666666667	BR1
2013	2013	1970	Satkhira	2013-2014-Satkhira	BR1	Short	6.026666667	BR1
2013	2013	1970	Sonagazi	2013-2014-Sonagazi	BR1	Short	5.203333333	BR1
2013	2013	1970	Kustia	2013-2014-Kustia	BR1	Short	5.986666667	BR1
2013	2013	1970	Rajshahi	2013-2014-Rajshahi	BR1	Short	5.07	BR1
2014	2014	1970	Barisal	2014-2015-Barisal	BR1	Short	4.116666667	BR1
2014	2014	1970	Bhanga	2014-2015-Bhanga	BR1	Short	7.473333333	BR1
2014	2014	1970	Comilla	2014-2015-Comilla	BR1	Short	4.75	BR1
2014	2014	1970	Gazipur	2014-2015-Gazipur	BR1	Short	6.4	BR1
2014	2014	1970	Habiganj	2014-2015-Habiganj	BR1	Short	5.803333333	BR1
2014	2014	1970	Rangpur	2014-2015-Rangpur	BR1	Short	2.883333333	BR1
2014	2014	1970	Satkhira	2014-2015-Satkhira	BR1	Short	5.88	BR1
2014	2014	1970	Sonagazi	2014-2015-Sonagazi	BR1	Short	5.19	BR1
2014	2014	1970	Kustia	2014-2015-Kustia	BR1	Short	5.616666667	BR1
2014	2014	1970	Rajshahi	2014-2015-Rajshahi	BR1	Short	5.23	BR1
2015	2015	1970	Barisal	2015-2016-Barisal	BR1	Short	4.646666667	BR1
2015	2015	1970	Bhanga	2015-2016-Bhanga	BR1	Short	6.766666667	BR1
2015	2015	1970	Comilla	2015-2016-Comilla	BR1	Short	5.16	BR1
2015	2015	1970	Gazipur	2015-2016-Gazipur	BR1	Short	5.886666667	BR1
2015	2015	1970	Habiganj	2015-2016-Habiganj	BR1	Short	6.233333333	BR1
2015	2015	1970	Rangpur	2015-2016-Rangpur	BR1	Short	4.673333333	BR1
2015	2015	1970	Satkhira	2015-2016-Satkhira	BR1	Short	5.716666667	BR1
2015	2015	1970	Sonagazi	2015-2016-Sonagazi	BR1	Short	5.383333333	BR1
2015	2015	1970	Kustia	2015-2016-Kustia	BR1	Short	6.606666667	BR1
2015	2015	1970	Rajshahi	2015-2016-Rajshahi	BR1	Short	6.05	BR1
2001	2001	1983	Barisal	2001-2002-Barisal	BR12	Long	7.556666667	BR12
2001	2001	1983	Bhanga	2001-2002-Bhanga	BR12	Long	6	BR12
2001	2001	1983	Comilla	2001-2002-Comilla	BR12	Long	4.473333333	BR12
2001	2001	1983	Habiganj	2001-2002-Habiganj	BR12	Long	4.733333333	BR12
2001	2001	1983	Rajshahi	2001-2002-Rajshahi	BR12	Long	5.233333333	BR12
2001	2001	1983	Rangpur	2001-2002-Rangpur	BR12	Long	6.146666667	BR12
2001	2001	1983	Satkhira	2001-2002-Satkhira	BR12	Long	4.25	BR12
2002	2002	1983	Barisal	2002-2003-Barisal	BR12	Long	4.716666667	BR12
2002	2002	1983	Bhanga	2002-2003-Bhanga	BR12	Long	6.286666667	BR12
2002	2002	1983	Comilla	2002-2003-Comilla	BR12	Long	4.583333333	BR12
2002	2002	1983	Gazipur	2002-2003-Gazipur	BR12	Long	4.68	BR12
2002	2002	1983	Habiganj	2002-2003-Habiganj	BR12	Long	5.023333333	BR12
2002	2002	1983	Rajshahi	2002-2003-Rajshahi	BR12	Long	4.35	BR12
2002	2002	1983	Rangpur	2002-2003-Rangpur	BR12	Long	3.946666667	BR12
2002	2002	1983	Satkhira	2002-2003-Satkhira	BR12	Long	3.766666667	BR12
2003	2003	1983	Barisal	2003-2004-Barisal	BR12	Long	4.663333333	BR12
2003	2003	1983	Bhanga	2003-2004-Bhanga	BR12	Long	5.33	BR12
2003	2003	1983	Comilla	2003-2004-Comilla	BR12	Long	4.54	BR12
2003	2003	1983	Gazipur	2003-2004-Gazipur	BR12	Long	3.016666667	BR12
2003	2003	1983	Habiganj	2003-2004-Habiganj	BR12	Long	4.92	BR12
2003	2003	1983	Rajshahi	2003-2004-Rajshahi	BR12	Long	2.606666667	BR12
2003	2003	1983	Rangpur	2003-2004-Rangpur	BR12	Long	5.246666667	BR12
2003	2003	1983	Satkhira	2003-2004-Satkhira	BR12	Long	4.303333333	BR12
2004	2004	1983	Barisal	2004-2005-Barisal	BR12	Long	5.973333333	BR12
2004	2004	1983	Bhanga	2004-2005-Bhanga	BR12	Long	5.87	BR12
2004	2004	1983	Comilla	2004-2005-Comilla	BR12	Long	5.17	BR12
2004	2004	1983	Gazipur	2004-2005-Gazipur	BR12	Long	4.26	BR12
2004	2004	1983	Habiganj	2004-2005-Habiganj	BR12	Long	5.083333333	BR12
2004	2004	1983	Rajshahi	2004-2005-Rajshahi	BR12	Long	4.963333333	BR12
2004	2004	1983	Rangpur	2004-2005-Rangpur	BR12	Long	4.87	BR12
2004	2004	1983	Satkhira	2004-2005-Satkhira	BR12	Long	4.03	BR12
2004	2004	1983	Kustia	2004-2005-Kustia	BR12	Long	4.293333333	BR12
2005	2005	1983	Barisal	2005-2006-Barisal	BR12	Long	5.643333333	BR12
2005	2005	1983	Bhanga	2005-2006-Bhanga	BR12	Long	6.693333333	BR12
2005	2005	1983	Comilla	2005-2006-Comilla	BR12	Long	5.26	BR12
2005	2005	1983	Gazipur	2005-2006-Gazipur	BR12	Long	6.083333333	BR12
2005	2005	1983	Habiganj	2005-2006-Habiganj	BR12	Long	4.893333333	BR12
2005	2005	1983	Rajshahi	2005-2006-Rajshahi	BR12	Long	4.066666667	BR12
2005	2005	1983	Rangpur	2005-2006-Rangpur	BR12	Long	3.813333333	BR12
2005	2005	1983	Satkhira	2005-2006-Satkhira	BR12	Long	5.383333333	BR12
2005	2005	1983	Kustia	2005-2006-Kustia	BR12	Long	5.443333333	BR12
2006	2006	1983	Barisal	2006-2007-Barisal	BR12	Long	5.26	BR12
2006	2006	1983	Bhanga	2006-2007-Bhanga	BR12	Long	6.776666667	BR12
2006	2006	1983	Comilla	2006-2007-Comilla	BR12	Long	5.573333333	BR12
2006	2006	1983	Gazipur	2006-2007-Gazipur	BR12	Long	4.886666667	BR12
2006	2006	1983	Habiganj	2006-2007-Habiganj	BR12	Long	4.916666667	BR12
2006	2006	1983	Rajshahi	2006-2007-Rajshahi	BR12	Long	5.1	BR12
2006	2006	1983	Kustia	2006-2007-Kustia	BR12	Long	5.59	BR12
2006	2006	1983	Rangpur	2006-2007-Rangpur	BR12	Long	4.636666667	BR12
2006	2006	1983	Satkhira	2006-2007-Satkhira	BR12	Long	5.95	BR12
2007	2007	1983	Barisal	2007-2008-Barisal	BR12	Long	5.276666667	BR12
2007	2007	1983	Bhanga	2007-2008-Bhanga	BR12	Long	6.296666667	BR12
2007	2007	1983	Comilla	2007-2008-Comilla	BR12	Long	7.9	BR12
2007	2007	1983	Gazipur	2007-2008-Gazipur	BR12	Long	4.603333333	BR12
2007	2007	1983	Habiganj	2007-2008-Habiganj	BR12	Long	4.916666667	BR12
2007	2007	1983	Rangpur	2007-2008-Rangpur	BR12	Long	2.5	BR12
2007	2007	1983	Satkhira	2007-2008-Satkhira	BR12	Long	5.086666667	BR12
2007	2007	1983	Kustia	2007-2008-Kustia	BR12	Long	4.703333333	BR12
2007	2007	1983	Rajshahi	2007-2008-Rajshahi	BR12	Long	4.503333333	BR12
2008	2008	1983	Barisal	2008-2009-Barisal	BR12	Long	5.306666667	BR12
2008	2008	1983	Bhanga	2008-2009-Bhanga	BR12	Long	6.54	BR12
2008	2008	1983	Comilla	2008-2009-Comilla	BR12	Long	5.15	BR12
2008	2008	1983	Gazipur	2008-2009-Gazipur	BR12	Long	5.05	BR12
2008	2008	1983	Habiganj	2008-2009-Habiganj	BR12	Long	5.666666667	BR12
2008	2008	1983	Rajshahi	2008-2009-Rajshahi	BR12	Long	3.9	BR12
2008	2008	1983	Rangpur	2008-2009-Rangpur	BR12	Long	2.566666667	BR12
2008	2008	1983	Kustia	2008-2009-Kustia	BR12	Long	6.296666667	BR12
2008	2008	1983	Satkhira	2008-2009-Satkhira	BR12	Long	4.856666667	BR12
2009	2009	1983	Barisal	2009-2010-Barisal	BR12	Long	5.333333333	BR12
2009	2009	1983	Bhanga	2009-2010-Bhanga	BR12	Long	6.603333333	BR12
2009	2009	1983	Comilla	2009-2010-Comilla	BR12	Long	5.73	BR12
2009	2009	1983	Gazipur	2009-2010-Gazipur	BR12	Long	3.55	BR12
2009	2009	1983	Habiganj	2009-2010-Habiganj	BR12	Long	5.466666667	BR12
2009	2009	1983	Rajshahi	2009-2010-Rajshahi	BR12	Long	4.2	BR12
2009	2009	1983	Rangpur	2009-2010-Rangpur	BR12	Long	2.393333333	BR12
2009	2009	1983	Satkhira	2009-2010-Satkhira	BR12	Long	5.26	BR12
2009	2009	1983	Kustia	2009-2010-Kustia	BR12	Long	4.883333333	BR12
2010	2010	1983	Barisal	2010-2011-Barisal	BR12	Long	3.996666667	BR12
2010	2010	1983	Bhanga	2010-2011-Bhanga	BR12	Long	6.666666667	BR12
2010	2010	1983	Comilla	2010-2011-Comilla	BR12	Long	5.32	BR12
2010	2010	1983	Gazipur	2010-2011-Gazipur	BR12	Long	3.05	BR12
2010	2010	1983	Habiganj	2010-2011-Habiganj	BR12	Long	5.266666667	BR12
2010	2010	1983	Rangpur	2010-2011-Rangpur	BR12	Long	2.216666667	BR12
2010	2010	1983	Satkhira	2010-2011-Satkhira	BR12	Long	5.666666667	BR12
2010	2010	1983	Sonagazi	2010-2011-Sonagazi	BR12	Long	5.6	BR12
2010	2010	1983	Kustia	2010-2011-Kustia	BR12	Long	3.466666667	BR12
2010	2010	1983	Rajshahi	2010-2011-Rajshahi	BR12	Long	4.75	BR12
2011	2011	1983	Barisal	2011-2012-Barisal	BR12	Long	3.996666667	BR12
2011	2011	1983	Bhanga	2011-2012-Bhanga	BR12	Long	6.666666667	BR12
2011	2011	1983	Comilla	2011-2012-Comilla	BR12	Long	5	BR12
2011	2011	1983	Gazipur	2011-2012-Gazipur	BR12	Long	4.363333333	BR12
2011	2011	1983	Habiganj	2011-2012-Habiganj	BR12	Long	5.266666667	BR12
2011	2011	1983	Rangpur	2011-2012-Rangpur	BR12	Long	2.216666667	BR12
2011	2011	1983	Satkhira	2011-2012-Satkhira	BR12	Long	6.253333333	BR12
2011	2011	1983	Sonagazi	2011-2012-Sonagazi	BR12	Long	5.6	BR12
2011	2011	1983	Kustia	2011-2012-Kustia	BR12	Long	3.466666667	BR12
2011	2011	1983	Rajshahi	2011-2012-Rajshahi	BR12	Long	5.3	BR12
2012	2012	1983	Barisal	2012-2013-Barisal	BR12	Long	4.256666667	BR12
2012	2012	1983	Bhanga	2012-2013-Bhanga	BR12	Long	6.75	BR12
2012	2012	1983	Comilla	2012-2013-Comilla	BR12	Long	4.603333333	BR12
2012	2012	1983	Gazipur	2012-2013-Gazipur	BR12	Long	5.05	BR12
2012	2012	1983	Habiganj	2012-2013-Habiganj	BR12	Long	5.276666667	BR12
2012	2012	1983	Rangpur	2012-2013-Rangpur	BR12	Long	5.283333333	BR12
2012	2012	1983	Satkhira	2012-2013-Satkhira	BR12	Long	6.733333333	BR12
2012	2012	1983	Sonagazi	2012-2013-Sonagazi	BR12	Long	3.496666667	BR12
2012	2012	1983	Kustia	2012-2013-Kustia	BR12	Long	5.176666667	BR12
2012	2012	1983	Rajshahi	2012-2013-Rajshahi	BR12	Long	4.836666667	BR12
2013	2013	1983	Barisal	2013-2014-Barisal	BR12	Long	4.646666667	BR12
2013	2013	1983	Bhanga	2013-2014-Bhanga	BR12	Long	6.133333333	BR12
2013	2013	1983	Comilla	2013-2014-Comilla	BR12	Long	4.28	BR12
2013	2013	1983	Gazipur	2013-2014-Gazipur	BR12	Long	5.7	BR12
2013	2013	1983	Habiganj	2013-2014-Habiganj	BR12	Long	5.28	BR12
2013	2013	1983	Rangpur	2013-2014-Rangpur	BR12	Long	5.8	BR12
2013	2013	1983	Satkhira	2013-2014-Satkhira	BR12	Long	5.77	BR12
2013	2013	1983	Sonagazi	2013-2014-Sonagazi	BR12	Long	4.753333333	BR12
2013	2013	1983	Kustia	2013-2014-Kustia	BR12	Long	3.496666667	BR12
2013	2013	1983	Rajshahi	2013-2014-Rajshahi	BR12	Long	4.733333333	BR12
2014	2014	1983	Barisal	2014-2015-Barisal	BR12	Long	4.576666667	BR12
2014	2014	1983	Bhanga	2014-2015-Bhanga	BR12	Long	6.766666667	BR12
2014	2014	1983	Comilla	2014-2015-Comilla	BR12	Long	4.593333333	BR12
2014	2014	1983	Gazipur	2014-2015-Gazipur	BR12	Long	6.133333333	BR12
2014	2014	1983	Habiganj	2014-2015-Habiganj	BR12	Long	5.496666667	BR12
2014	2014	1983	Rangpur	2014-2015-Rangpur	BR12	Long	2.65	BR12
2014	2014	1983	Satkhira	2014-2015-Satkhira	BR12	Long	5.436666667	BR12
2014	2014	1983	Sonagazi	2014-2015-Sonagazi	BR12	Long	5.113333333	BR12
2014	2014	1983	Kustia	2014-2015-Kustia	BR12	Long	4.89	BR12
2014	2014	1983	Rajshahi	2014-2015-Rajshahi	BR12	Long	4.626666667	BR12
2015	2015	1983	Barisal	2015-2016-Barisal	BR12	Long	4.133333333	BR12
2015	2015	1983	Bhanga	2015-2016-Bhanga	BR12	Long	6.276666667	BR12
2015	2015	1983	Comilla	2015-2016-Comilla	BR12	Long	3.97	BR12
2015	2015	1983	Gazipur	2015-2016-Gazipur	BR12	Long	6.743333333	BR12
2015	2015	1983	Habiganj	2015-2016-Habiganj	BR12	Long	5.766666667	BR12
2015	2015	1983	Rangpur	2015-2016-Rangpur	BR12	Long	4.893333333	BR12
2015	2015	1983	Satkhira	2015-2016-Satkhira	BR12	Long	5.31	BR12
2015	2015	1983	Sonagazi	2015-2016-Sonagazi	BR12	Long	4.453333333	BR12
2015	2015	1983	Kustia	2015-2016-Kustia	BR12	Long	6.766666667	BR12
2015	2015	1983	Rajshahi	2015-2016-Rajshahi	BR12	Long	5.39	BR12
2001	2001	1983	Barisal	2001-2002-Barisal	BR14	Long	6.39	BR14
2001	2001	1983	Bhanga	2001-2002-Bhanga	BR14	Long	7.1	BR14
2001	2001	1983	Comilla	2001-2002-Comilla	BR14	Long	6.35	BR14
2001	2001	1983	Habiganj	2001-2002-Habiganj	BR14	Long	5.94	BR14
2001	2001	1983	Rajshahi	2001-2002-Rajshahi	BR14	Long	6.4	BR14
2001	2001	1983	Rangpur	2001-2002-Rangpur	BR14	Long	6.713333333	BR14
2001	2001	1983	Satkhira	2001-2002-Satkhira	BR14	Long	6.55	BR14
2002	2002	1983	Barisal	2002-2003-Barisal	BR14	Long	3.34	BR14
2002	2002	1983	Bhanga	2002-2003-Bhanga	BR14	Long	5.776666667	BR14
2002	2002	1983	Comilla	2002-2003-Comilla	BR14	Long	5.956666667	BR14
2002	2002	1983	Gazipur	2002-2003-Gazipur	BR14	Long	3.906666667	BR14
2002	2002	1983	Habiganj	2002-2003-Habiganj	BR14	Long	5.626666667	BR14
2002	2002	1983	Rajshahi	2002-2003-Rajshahi	BR14	Long	4.133333333	BR14
2002	2002	1983	Rangpur	2002-2003-Rangpur	BR14	Long	4.47	BR14
2002	2002	1983	Satkhira	2002-2003-Satkhira	BR14	Long	5.9	BR14
2003	2003	1983	Barisal	2003-2004-Barisal	BR14	Long	5.403333333	BR14
2003	2003	1983	Bhanga	2003-2004-Bhanga	BR14	Long	5.356666667	BR14
2003	2003	1983	Comilla	2003-2004-Comilla	BR14	Long	5.07	BR14
2003	2003	1983	Gazipur	2003-2004-Gazipur	BR14	Long	2.5	BR14
2003	2003	1983	Habiganj	2003-2004-Habiganj	BR14	Long	5.516666667	BR14
2003	2003	1983	Rajshahi	2003-2004-Rajshahi	BR14	Long	2.533333333	BR14
2003	2003	1983	Rangpur	2003-2004-Rangpur	BR14	Long	5.043333333	BR14
2003	2003	1983	Satkhira	2003-2004-Satkhira	BR14	Long	6.376666667	BR14
2004	2004	1983	Barisal	2004-2005-Barisal	BR14	Long	6.05	BR14
2004	2004	1983	Bhanga	2004-2005-Bhanga	BR14	Long	6.413333333	BR14
2004	2004	1983	Comilla	2004-2005-Comilla	BR14	Long	6.09	BR14
2004	2004	1983	Gazipur	2004-2005-Gazipur	BR14	Long	3.893333333	BR14
2004	2004	1983	Habiganj	2004-2005-Habiganj	BR14	Long	5.82	BR14
2004	2004	1983	Rajshahi	2004-2005-Rajshahi	BR14	Long	4.626666667	BR14
2004	2004	1983	Rangpur	2004-2005-Rangpur	BR14	Long	5.23	BR14
2004	2004	1983	Satkhira	2004-2005-Satkhira	BR14	Long	6.76	BR14
2004	2004	1983	Kustia	2004-2005-Kustia	BR14	Long	5.7	BR14
2005	2005	1983	Barisal	2005-2006-Barisal	BR14	Long	7.26	BR14
2005	2005	1983	Bhanga	2005-2006-Bhanga	BR14	Long	6.686666667	BR14
2005	2005	1983	Comilla	2005-2006-Comilla	BR14	Long	6.36	BR14
2005	2005	1983	Gazipur	2005-2006-Gazipur	BR14	Long	5.73	BR14
2005	2005	1983	Habiganj	2005-2006-Habiganj	BR14	Long	8.066666667	BR14
2005	2005	1983	Rajshahi	2005-2006-Rajshahi	BR14	Long	5.77	BR14
2005	2005	1983	Rangpur	2005-2006-Rangpur	BR14	Long	4.15	BR14
2005	2005	1983	Satkhira	2005-2006-Satkhira	BR14	Long	6.156666667	BR14
2005	2005	1983	Kustia	2005-2006-Kustia	BR14	Long	5.906666667	BR14
2006	2006	1983	Barisal	2006-2007-Barisal	BR14	Long	5.456666667	BR14
2006	2006	1983	Bhanga	2006-2007-Bhanga	BR14	Long	7.283333333	BR14
2006	2006	1983	Comilla	2006-2007-Comilla	BR14	Long	5.666666667	BR14
2006	2006	1983	Gazipur	2006-2007-Gazipur	BR14	Long	4.976666667	BR14
2006	2006	1983	Habiganj	2006-2007-Habiganj	BR14	Long	6.263333333	BR14
2006	2006	1983	Rajshahi	2006-2007-Rajshahi	BR14	Long	4.6	BR14
2006	2006	1983	Kustia	2006-2007-Kustia	BR14	Long	7.37	BR14
