"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"Yield"
"2006"	2006	1970	"Comilla"	"2006-2007-Comilla"	"BR1"	"1"	"Short"	6.25
"2006"	2006	1970	"Gazipur"	"2006-2007-Gazipur"	"BR1"	"1"	"Short"	4.99
"2006"	2006	1970	"Habiganj"	"2006-2007-Habiganj"	"BR1"	"1"	"Short"	4.07
"2006"	2006	1970	"Rajshahi"	"2006-2007-Rajshahi"	"BR1"	"1"	"Short"	5.3
"2006"	2006	1970	"Kustia"	"2006-2007-Kustia"	"BR1"	"1"	"Short"	8.2
"2006"	2006	1970	"Rangpur"	"2006-2007-Rangpur"	"BR1"	"1"	"Short"	5.44
"2006"	2006	1970	"Satkhira"	"2006-2007-Satkhira"	"BR1"	"1"	"Short"	5.5
"2007"	2007	1970	"Barisal"	"2007-2008-Barisal"	"BR1"	"1"	"Short"	6.21
"2007"	2007	1970	"Bhanga"	"2007-2008-Bhanga"	"BR1"	"1"	"Short"	5.83
"2007"	2007	1970	"Comilla"	"2007-2008-Comilla"	"BR1"	"1"	"Short"	6.54
"2007"	2007	1970	"Gazipur"	"2007-2008-Gazipur"	"BR1"	"1"	"Short"	4.7
"2007"	2007	1970	"Habiganj"	"2007-2008-Habiganj"	"BR1"	"1"	"Short"	4.07
"2007"	2007	1970	"Rangpur"	"2007-2008-Rangpur"	"BR1"	"1"	"Short"	2.8
"2007"	2007	1970	"Satkhira"	"2007-2008-Satkhira"	"BR1"	"1"	"Short"	8
"2007"	2007	1970	"Kustia"	"2007-2008-Kustia"	"BR1"	"1"	"Short"	6.67
"2007"	2007	1970	"Rajshahi"	"2007-2008-Rajshahi"	"BR1"	"1"	"Short"	4.88
"2008"	2008	1970	"Barisal"	"2008-2009-Barisal"	"BR1"	"1"	"Short"	5.51
"2008"	2008	1970	"Bhanga"	"2008-2009-Bhanga"	"BR1"	"1"	"Short"	6.13
"2008"	2008	1970	"Comilla"	"2008-2009-Comilla"	"BR1"	"1"	"Short"	5.01
"2008"	2008	1970	"Gazipur"	"2008-2009-Gazipur"	"BR1"	"1"	"Short"	4.65
"2008"	2008	1970	"Habiganj"	"2008-2009-Habiganj"	"BR1"	"1"	"Short"	6.3
"2008"	2008	1970	"Rajshahi"	"2008-2009-Rajshahi"	"BR1"	"1"	"Short"	4.46
"2008"	2008	1970	"Rangpur"	"2008-2009-Rangpur"	"BR1"	"1"	"Short"	2.9
"2008"	2008	1970	"Kustia"	"2008-2009-Kustia"	"BR1"	"1"	"Short"	7.2
"2008"	2008	1970	"Satkhira"	"2008-2009-Satkhira"	"BR1"	"1"	"Short"	6.75
"2009"	2009	1970	"Barisal"	"2009-2010-Barisal"	"BR1"	"1"	"Short"	4.8
"2009"	2009	1970	"Bhanga"	"2009-2010-Bhanga"	"BR1"	"1"	"Short"	6.13
"2009"	2009	1970	"Comilla"	"2009-2010-Comilla"	"BR1"	"1"	"Short"	5.76
"2009"	2009	1970	"Gazipur"	"2009-2010-Gazipur"	"BR1"	"1"	"Short"	3.95
"2009"	2009	1970	"Habiganj"	"2009-2010-Habiganj"	"BR1"	"1"	"Short"	6.1
"2009"	2009	1970	"Rajshahi"	"2009-2010-Rajshahi"	"BR1"	"1"	"Short"	4.67
"2009"	2009	1970	"Rangpur"	"2009-2010-Rangpur"	"BR1"	"1"	"Short"	2.7
"2009"	2009	1970	"Satkhira"	"2009-2010-Satkhira"	"BR1"	"1"	"Short"	6.63
"2009"	2009	1970	"Kustia"	"2009-2010-Kustia"	"BR1"	"1"	"Short"	5.93
"2010"	2010	1970	"Barisal"	"2010-2011-Barisal"	"BR1"	"1"	"Short"	5.84
"2010"	2010	1970	"Bhanga"	"2010-2011-Bhanga"	"BR1"	"1"	"Short"	6.13
"2010"	2010	1970	"Comilla"	"2010-2011-Comilla"	"BR1"	"1"	"Short"	5.58
"2010"	2010	1970	"Gazipur"	"2010-2011-Gazipur"	"BR1"	"1"	"Short"	2.75
"2010"	2010	1970	"Habiganj"	"2010-2011-Habiganj"	"BR1"	"1"	"Short"	5.9
"2010"	2010	1970	"Rangpur"	"2010-2011-Rangpur"	"BR1"	"1"	"Short"	2.3
"2010"	2010	1970	"Satkhira"	"2010-2011-Satkhira"	"BR1"	"1"	"Short"	6.51
"2010"	2010	1970	"Sonagazi"	"2010-2011-Sonagazi"	"BR1"	"1"	"Short"	5.2
"2010"	2010	1970	"Kustia"	"2010-2011-Kustia"	"BR1"	"1"	"Short"	4.65
"2010"	2010	1970	"Rajshahi"	"2010-2011-Rajshahi"	"BR1"	"1"	"Short"	5.4
"2011"	2011	1970	"Barisal"	"2011-2012-Barisal"	"BR1"	"1"	"Short"	5.84
"2011"	2011	1970	"Bhanga"	"2011-2012-Bhanga"	"BR1"	"1"	"Short"	6.13
"2011"	2011	1970	"Comilla"	"2011-2012-Comilla"	"BR1"	"1"	"Short"	5.15
"2011"	2011	1970	"Gazipur"	"2011-2012-Gazipur"	"BR1"	"1"	"Short"	5.02
"2011"	2011	1970	"Habiganj"	"2011-2012-Habiganj"	"BR1"	"1"	"Short"	5.9
"2011"	2011	1970	"Rangpur"	"2011-2012-Rangpur"	"BR1"	"1"	"Short"	2.3
"2011"	2011	1970	"Satkhira"	"2011-2012-Satkhira"	"BR1"	"1"	"Short"	6.2
"2011"	2011	1970	"Sonagazi"	"2011-2012-Sonagazi"	"BR1"	"1"	"Short"	5.2
"2011"	2011	1970	"Kustia"	"2011-2012-Kustia"	"BR1"	"1"	"Short"	4.65
"2011"	2011	1970	"Rajshahi"	"2011-2012-Rajshahi"	"BR1"	"1"	"Short"	6.13
"2012"	2012	1970	"Barisal"	"2012-2013-Barisal"	"BR1"	"1"	"Short"	5.57
"2012"	2012	1970	"Bhanga"	"2012-2013-Bhanga"	"BR1"	"1"	"Short"	6.85
"2012"	2012	1970	"Comilla"	"2012-2013-Comilla"	"BR1"	"1"	"Short"	5.61
"2012"	2012	1970	"Gazipur"	"2012-2013-Gazipur"	"BR1"	"1"	"Short"	7.11
"2012"	2012	1970	"Habiganj"	"2012-2013-Habiganj"	"BR1"	"1"	"Short"	6.1
"2012"	2012	1970	"Rangpur"	"2012-2013-Rangpur"	"BR1"	"1"	"Short"	6.35
"2012"	2012	1970	"Satkhira"	"2012-2013-Satkhira"	"BR1"	"1"	"Short"	6.6
"2012"	2012	1970	"Sonagazi"	"2012-2013-Sonagazi"	"BR1"	"1"	"Short"	3.92
"2012"	2012	1970	"Kustia"	"2012-2013-Kustia"	"BR1"	"1"	"Short"	6.29
"2012"	2012	1970	"Rajshahi"	"2012-2013-Rajshahi"	"BR1"	"1"	"Short"	5.16
"2013"	2013	1970	"Barisal"	"2013-2014-Barisal"	"BR1"	"1"	"Short"	4.78
"2013"	2013	1970	"Bhanga"	"2013-2014-Bhanga"	"BR1"	"1"	"Short"	5.8
"2013"	2013	1970	"Comilla"	"2013-2014-Comilla"	"BR1"	"1"	"Short"	5.12
"2013"	2013	1970	"Gazipur"	"2013-2014-Gazipur"	"BR1"	"1"	"Short"	7.02
"2013"	2013	1970	"Habiganj"	"2013-2014-Habiganj"	"BR1"	"1"	"Short"	5.51
"2013"	2013	1970	"Rangpur"	"2013-2014-Rangpur"	"BR1"	"1"	"Short"	5.7
"2013"	2013	1970	"Satkhira"	"2013-2014-Satkhira"	"BR1"	"1"	"Short"	5.79
"2013"	2013	1970	"Sonagazi"	"2013-2014-Sonagazi"	"BR1"	"1"	"Short"	5.32
"2013"	2013	1970	"Kustia"	"2013-2014-Kustia"	"BR1"	"1"	"Short"	5.62
"2013"	2013	1970	"Rajshahi"	"2013-2014-Rajshahi"	"BR1"	"1"	"Short"	5.23
"2014"	2014	1970	"Barisal"	"2014-2015-Barisal"	"BR1"	"1"	"Short"	4.02
"2014"	2014	1970	"Bhanga"	"2014-2015-Bhanga"	"BR1"	"1"	"Short"	7.31
"2014"	2014	1970	"Comilla"	"2014-2015-Comilla"	"BR1"	"1"	"Short"	4.76
"2014"	2014	1970	"Gazipur"	"2014-2015-Gazipur"	"BR1"	"1"	"Short"	6.2
"2014"	2014	1970	"Habiganj"	"2014-2015-Habiganj"	"BR1"	"1"	"Short"	5.58
"2014"	2014	1970	"Rangpur"	"2014-2015-Rangpur"	"BR1"	"1"	"Short"	2.55
"2014"	2014	1970	"Satkhira"	"2014-2015-Satkhira"	"BR1"	"1"	"Short"	5.89
"2014"	2014	1970	"Sonagazi"	"2014-2015-Sonagazi"	"BR1"	"1"	"Short"	5.14
"2014"	2014	1970	"Kustia"	"2014-2015-Kustia"	"BR1"	"1"	"Short"	4.95
"2014"	2014	1970	"Rajshahi"	"2014-2015-Rajshahi"	"BR1"	"1"	"Short"	5.3
"2015"	2015	1970	"Barisal"	"2015-2016-Barisal"	"BR1"	"1"	"Short"	4.33
"2015"	2015	1970	"Bhanga"	"2015-2016-Bhanga"	"BR1"	"1"	"Short"	7.01
"2015"	2015	1970	"Comilla"	"2015-2016-Comilla"	"BR1"	"1"	"Short"	4.32
"2015"	2015	1970	"Gazipur"	"2015-2016-Gazipur"	"BR1"	"1"	"Short"	5.87
"2015"	2015	1970	"Habiganj"	"2015-2016-Habiganj"	"BR1"	"1"	"Short"	6.4
"2015"	2015	1970	"Rangpur"	"2015-2016-Rangpur"	"BR1"	"1"	"Short"	4.77
"2015"	2015	1970	"Satkhira"	"2015-2016-Satkhira"	"BR1"	"1"	"Short"	5.64
"2015"	2015	1970	"Sonagazi"	"2015-2016-Sonagazi"	"BR1"	"1"	"Short"	5.63
"2015"	2015	1970	"Kustia"	"2015-2016-Kustia"	"BR1"	"1"	"Short"	6.73
"2015"	2015	1970	"Rajshahi"	"2015-2016-Rajshahi"	"BR1"	"1"	"Short"	6.09
"2001"	2001	1970	"Barisal"	"2001-2002-Barisal"	"BR1"	"2"	"Short"	6.72
"2001"	2001	1970	"Bhanga"	"2001-2002-Bhanga"	"BR1"	"2"	"Short"	5.3
"2001"	2001	1970	"Comilla"	"2001-2002-Comilla"	"BR1"	"2"	"Short"	6.03
"2001"	2001	1970	"Habiganj"	"2001-2002-Habiganj"	"BR1"	"2"	"Short"	5.65
"2001"	2001	1970	"Rajshahi"	"2001-2002-Rajshahi"	"BR1"	"2"	"Short"	4.6
"2001"	2001	1970	"Rangpur"	"2001-2002-Rangpur"	"BR1"	"2"	"Short"	6.13
"2001"	2001	1970	"Satkhira"	"2001-2002-Satkhira"	"BR1"	"2"	"Short"	5.12
"2002"	2002	1970	"Barisal"	"2002-2003-Barisal"	"BR1"	"2"	"Short"	3.91
"2002"	2002	1970	"Bhanga"	"2002-2003-Bhanga"	"BR1"	"2"	"Short"	5.59
"2002"	2002	1970	"Comilla"	"2002-2003-Comilla"	"BR1"	"2"	"Short"	4.88
"2002"	2002	1970	"Gazipur"	"2002-2003-Gazipur"	"BR1"	"2"	"Short"	4.46
"2002"	2002	1970	"Habiganj"	"2002-2003-Habiganj"	"BR1"	"2"	"Short"	5.32
"2002"	2002	1970	"Rajshahi"	"2002-2003-Rajshahi"	"BR1"	"2"	"Short"	2.9
"2002"	2002	1970	"Rangpur"	"2002-2003-Rangpur"	"BR1"	"2"	"Short"	3.54
"2002"	2002	1970	"Satkhira"	"2002-2003-Satkhira"	"BR1"	"2"	"Short"	4.45
"2003"	2003	1970	"Barisal"	"2003-2004-Barisal"	"BR1"	"2"	"Short"	4.47
"2003"	2003	1970	"Bhanga"	"2003-2004-Bhanga"	"BR1"	"2"	"Short"	2.33
"2003"	2003	1970	"Comilla"	"2003-2004-Comilla"	"BR1"	"2"	"Short"	4.22
"2003"	2003	1970	"Gazipur"	"2003-2004-Gazipur"	"BR1"	"2"	"Short"	2.42
"2003"	2003	1970	"Habiganj"	"2003-2004-Habiganj"	"BR1"	"2"	"Short"	4.03
"2003"	2003	1970	"Rajshahi"	"2003-2004-Rajshahi"	"BR1"	"2"	"Short"	1.11
"2003"	2003	1970	"Rangpur"	"2003-2004-Rangpur"	"BR1"	"2"	"Short"	4.09
"2003"	2003	1970	"Satkhira"	"2003-2004-Satkhira"	"BR1"	"2"	"Short"	5.24
"2004"	2004	1970	"Barisal"	"2004-2005-Barisal"	"BR1"	"2"	"Short"	4.76
"2004"	2004	1970	"Bhanga"	"2004-2005-Bhanga"	"BR1"	"2"	"Short"	6.24
"2004"	2004	1970	"Comilla"	"2004-2005-Comilla"	"BR1"	"2"	"Short"	6.26
"2004"	2004	1970	"Gazipur"	"2004-2005-Gazipur"	"BR1"	"2"	"Short"	4.75
"2004"	2004	1970	"Habiganj"	"2004-2005-Habiganj"	"BR1"	"2"	"Short"	4.51
"2004"	2004	1970	"Rajshahi"	"2004-2005-Rajshahi"	"BR1"	"2"	"Short"	6.18
"2004"	2004	1970	"Rangpur"	"2004-2005-Rangpur"	"BR1"	"2"	"Short"	5.27
"2004"	2004	1970	"Satkhira"	"2004-2005-Satkhira"	"BR1"	"2"	"Short"	5.43
"2004"	2004	1970	"Kustia"	"2004-2005-Kustia"	"BR1"	"2"	"Short"	6.04
"2005"	2005	1970	"Barisal"	"2005-2006-Barisal"	"BR1"	"2"	"Short"	5.03
"2005"	2005	1970	"Bhanga"	"2005-2006-Bhanga"	"BR1"	"2"	"Short"	5.44
"2005"	2005	1970	"Comilla"	"2005-2006-Comilla"	"BR1"	"2"	"Short"	6.51
"2005"	2005	1970	"Gazipur"	"2005-2006-Gazipur"	"BR1"	"2"	"Short"	6.37
"2005"	2005	1970	"Habiganj"	"2005-2006-Habiganj"	"BR1"	"2"	"Short"	6.4
"2005"	2005	1970	"Rajshahi"	"2005-2006-Rajshahi"	"BR1"	"2"	"Short"	2.87
"2005"	2005	1970	"Rangpur"	"2005-2006-Rangpur"	"BR1"	"2"	"Short"	2.61
"2005"	2005	1970	"Satkhira"	"2005-2006-Satkhira"	"BR1"	"2"	"Short"	5.91
"2005"	2005	1970	"Kustia"	"2005-2006-Kustia"	"BR1"	"2"	"Short"	7.1
"2006"	2006	1970	"Barisal"	"2006-2007-Barisal"	"BR1"	"2"	"Short"	6.23
"2006"	2006	1970	"Bhanga"	"2006-2007-Bhanga"	"BR1"	"2"	"Short"	6.62
"2006"	2006	1970	"Comilla"	"2006-2007-Comilla"	"BR1"	"2"	"Short"	6.37
"2006"	2006	1970	"Gazipur"	"2006-2007-Gazipur"	"BR1"	"2"	"Short"	5.29
"2006"	2006	1970	"Habiganj"	"2006-2007-Habiganj"	"BR1"	"2"	"Short"	3.9
"2006"	2006	1970	"Rajshahi"	"2006-2007-Rajshahi"	"BR1"	"2"	"Short"	4.6
"2006"	2006	1970	"Kustia"	"2006-2007-Kustia"	"BR1"	"2"	"Short"	8.16
"2006"	2006	1970	"Rangpur"	"2006-2007-Rangpur"	"BR1"	"2"	"Short"	5.64
"2006"	2006	1970	"Satkhira"	"2006-2007-Satkhira"	"BR1"	"2"	"Short"	5.67
"2007"	2007	1970	"Barisal"	"2007-2008-Barisal"	"BR1"	"2"	"Short"	5.63
"2007"	2007	1970	"Bhanga"	"2007-2008-Bhanga"	"BR1"	"2"	"Short"	5.64
"2007"	2007	1970	"Comilla"	"2007-2008-Comilla"	"BR1"	"2"	"Short"	6.29
"2007"	2007	1970	"Gazipur"	"2007-2008-Gazipur"	"BR1"	"2"	"Short"	4.7
"2007"	2007	1970	"Habiganj"	"2007-2008-Habiganj"	"BR1"	"2"	"Short"	3.9
"2007"	2007	1970	"Rangpur"	"2007-2008-Rangpur"	"BR1"	"2"	"Short"	2.3
"2007"	2007	1970	"Satkhira"	"2007-2008-Satkhira"	"BR1"	"2"	"Short"	4
"2007"	2007	1970	"Kustia"	"2007-2008-Kustia"	"BR1"	"2"	"Short"	6.52
"2007"	2007	1970	"Rajshahi"	"2007-2008-Rajshahi"	"BR1"	"2"	"Short"	5.02
"2008"	2008	1970	"Barisal"	"2008-2009-Barisal"	"BR1"	"2"	"Short"	5.19
"2008"	2008	1970	"Bhanga"	"2008-2009-Bhanga"	"BR1"	"2"	"Short"	6.13
"2008"	2008	1970	"Comilla"	"2008-2009-Comilla"	"BR1"	"2"	"Short"	4.9
"2008"	2008	1970	"Gazipur"	"2008-2009-Gazipur"	"BR1"	"2"	"Short"	5.35
"2008"	2008	1970	"Habiganj"	"2008-2009-Habiganj"	"BR1"	"2"	"Short"	6.6
"2008"	2008	1970	"Rajshahi"	"2008-2009-Rajshahi"	"BR1"	"2"	"Short"	5.43
"2008"	2008	1970	"Rangpur"	"2008-2009-Rangpur"	"BR1"	"2"	"Short"	2.5
"2008"	2008	1970	"Kustia"	"2008-2009-Kustia"	"BR1"	"2"	"Short"	6.75
"2008"	2008	1970	"Satkhira"	"2008-2009-Satkhira"	"BR1"	"2"	"Short"	4.84
"2009"	2009	1970	"Barisal"	"2009-2010-Barisal"	"BR1"	"2"	"Short"	4.75
"2009"	2009	1970	"Bhanga"	"2009-2010-Bhanga"	"BR1"	"2"	"Short"	5.55
"2009"	2009	1970	"Comilla"	"2009-2010-Comilla"	"BR1"	"2"	"Short"	5.75
"2009"	2009	1970	"Gazipur"	"2009-2010-Gazipur"	"BR1"	"2"	"Short"	3.15
"2009"	2009	1970	"Habiganj"	"2009-2010-Habiganj"	"BR1"	"2"	"Short"	6.05
"2009"	2009	1970	"Rajshahi"	"2009-2010-Rajshahi"	"BR1"	"2"	"Short"	5.22
"2009"	2009	1970	"Rangpur"	"2009-2010-Rangpur"	"BR1"	"2"	"Short"	2.5
"2009"	2009	1970	"Satkhira"	"2009-2010-Satkhira"	"BR1"	"2"	"Short"	4.67
"2009"	2009	1970	"Kustia"	"2009-2010-Kustia"	"BR1"	"2"	"Short"	5.71
"2010"	2010	1970	"Barisal"	"2010-2011-Barisal"	"BR1"	"2"	"Short"	4.76
"2010"	2010	1970	"Bhanga"	"2010-2011-Bhanga"	"BR1"	"2"	"Short"	4.97
"2010"	2010	1970	"Comilla"	"2010-2011-Comilla"	"BR1"	"2"	"Short"	5.43
"2010"	2010	1970	"Gazipur"	"2010-2011-Gazipur"	"BR1"	"2"	"Short"	2.8
"2010"	2010	1970	"Habiganj"	"2010-2011-Habiganj"	"BR1"	"2"	"Short"	5.5
"2010"	2010	1970	"Rangpur"	"2010-2011-Rangpur"	"BR1"	"2"	"Short"	2.6
"2010"	2010	1970	"Satkhira"	"2010-2011-Satkhira"	"BR1"	"2"	"Short"	4.5
"2010"	2010	1970	"Sonagazi"	"2010-2011-Sonagazi"	"BR1"	"2"	"Short"	5.3
"2010"	2010	1970	"Kustia"	"2010-2011-Kustia"	"BR1"	"2"	"Short"	4.67
"2010"	2010	1970	"Rajshahi"	"2010-2011-Rajshahi"	"BR1"	"2"	"Short"	6
"2011"	2011	1970	"Barisal"	"2011-2012-Barisal"	"BR1"	"2"	"Short"	4.76
"2011"	2011	1970	"Bhanga"	"2011-2012-Bhanga"	"BR1"	"2"	"Short"	4.97
"2011"	2011	1970	"Comilla"	"2011-2012-Comilla"	"BR1"	"2"	"Short"	5.24
"2011"	2011	1970	"Gazipur"	"2011-2012-Gazipur"	"BR1"	"2"	"Short"	4.93
"2011"	2011	1970	"Habiganj"	"2011-2012-Habiganj"	"BR1"	"2"	"Short"	5.5
"2011"	2011	1970	"Rangpur"	"2011-2012-Rangpur"	"BR1"	"2"	"Short"	2.6
"2011"	2011	1970	"Satkhira"	"2011-2012-Satkhira"	"BR1"	"2"	"Short"	6.66
"2011"	2011	1970	"Sonagazi"	"2011-2012-Sonagazi"	"BR1"	"2"	"Short"	5.3
"2011"	2011	1970	"Kustia"	"2011-2012-Kustia"	"BR1"	"2"	"Short"	4.67
"2011"	2011	1970	"Rajshahi"	"2011-2012-Rajshahi"	"BR1"	"2"	"Short"	6.77
"2012"	2012	1970	"Barisal"	"2012-2013-Barisal"	"BR1"	"2"	"Short"	4.83
"2012"	2012	1970	"Bhanga"	"2012-2013-Bhanga"	"BR1"	"2"	"Short"	6.38
"2012"	2012	1970	"Comilla"	"2012-2013-Comilla"	"BR1"	"2"	"Short"	5.58
"2012"	2012	1970	"Gazipur"	"2012-2013-Gazipur"	"BR1"	"2"	"Short"	6.35
"2012"	2012	1970	"Habiganj"	"2012-2013-Habiganj"	"BR1"	"2"	"Short"	5.9
"2012"	2012	1970	"Rangpur"	"2012-2013-Rangpur"	"BR1"	"2"	"Short"	6.2
"2012"	2012	1970	"Satkhira"	"2012-2013-Satkhira"	"BR1"	"2"	"Short"	7
"2012"	2012	1970	"Sonagazi"	"2012-2013-Sonagazi"	"BR1"	"2"	"Short"	3.7
"2012"	2012	1970	"Kustia"	"2012-2013-Kustia"	"BR1"	"2"	"Short"	6.45
"2012"	2012	1970	"Rajshahi"	"2012-2013-Rajshahi"	"BR1"	"2"	"Short"	5.26
"2013"	2013	1970	"Barisal"	"2013-2014-Barisal"	"BR1"	"2"	"Short"	4.55
"2013"	2013	1970	"Bhanga"	"2013-2014-Bhanga"	"BR1"	"2"	"Short"	5.7
"2013"	2013	1970	"Comilla"	"2013-2014-Comilla"	"BR1"	"2"	"Short"	5.25
"2013"	2013	1970	"Gazipur"	"2013-2014-Gazipur"	"BR1"	"2"	"Short"	6.8
"2013"	2013	1970	"Habiganj"	"2013-2014-Habiganj"	"BR1"	"2"	"Short"	5.8
"2013"	2013	1970	"Rangpur"	"2013-2014-Rangpur"	"BR1"	"2"	"Short"	5.6
"2013"	2013	1970	"Satkhira"	"2013-2014-Satkhira"	"BR1"	"2"	"Short"	6.31
"2013"	2013	1970	"Sonagazi"	"2013-2014-Sonagazi"	"BR1"	"2"	"Short"	5.25
"2013"	2013	1970	"Kustia"	"2013-2014-Kustia"	"BR1"	"2"	"Short"	6.33
"2013"	2013	1970	"Rajshahi"	"2013-2014-Rajshahi"	"BR1"	"2"	"Short"	5.24
"2014"	2014	1970	"Barisal"	"2014-2015-Barisal"	"BR1"	"2"	"Short"	4.26
"2014"	2014	1970	"Bhanga"	"2014-2015-Bhanga"	"BR1"	"2"	"Short"	7.67
"2014"	2014	1970	"Comilla"	"2014-2015-Comilla"	"BR1"	"2"	"Short"	4.92
"2014"	2014	1970	"Gazipur"	"2014-2015-Gazipur"	"BR1"	"2"	"Short"	6.1
"2014"	2014	1970	"Habiganj"	"2014-2015-Habiganj"	"BR1"	"2"	"Short"	5.87
"2014"	2014	1970	"Rangpur"	"2014-2015-Rangpur"	"BR1"	"2"	"Short"	3.05
"2014"	2014	1970	"Satkhira"	"2014-2015-Satkhira"	"BR1"	"2"	"Short"	6.04
"2014"	2014	1970	"Sonagazi"	"2014-2015-Sonagazi"	"BR1"	"2"	"Short"	5.37
"2014"	2014	1970	"Kustia"	"2014-2015-Kustia"	"BR1"	"2"	"Short"	6.21
"2014"	2014	1970	"Rajshahi"	"2014-2015-Rajshahi"	"BR1"	"2"	"Short"	5.21
"2015"	2015	1970	"Barisal"	"2015-2016-Barisal"	"BR1"	"2"	"Short"	4.29
"2015"	2015	1970	"Bhanga"	"2015-2016-Bhanga"	"BR1"	"2"	"Short"	7.34
"2015"	2015	1970	"Comilla"	"2015-2016-Comilla"	"BR1"	"2"	"Short"	5.36
"2015"	2015	1970	"Gazipur"	"2015-2016-Gazipur"	"BR1"	"2"	"Short"	6.06
"2015"	2015	1970	"Habiganj"	"2015-2016-Habiganj"	"BR1"	"2"	"Short"	6.3
